,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.71,0.81,0.68,0.86,0.64,0.71,0.64,0.65,0.44,0.79,0.67,0.89
gamestone.csv,0.87,0.23,0.86,0.71,0.62,0.98,0.84,0.87,0.74,0.88,0.92,0.74
gbif-providertoolkit.csv,0.88,1.09,0.79,0.72,0.3,0.96,0.61,0.76,0.85,0.79,1.06,0.77
heekscad.csv,0.33,0.46,0.42,0.55,0.61,0.62,0.76,0.67,0.63,0.79,0.54,0.7
igarden.csv,0.5,0.59,0.71,0.48,0.8,0.72,0.72,0.9,0.85,0.34,0.66,0.87
levent.csv,0.7,0.88,1.0,1.0,0.68,0.39,0.96,1.0,1.0,1.0,1.0,1.0
libmesh.csv,0.9,1.01,0.9,0.85,0.8,1.0,0.49,0.69,0.83,0.94,0.88,0.91
openmsx.csv,0.9,0.91,0.81,0.78,0.65,0.92,0.87,0.54,0.7,0.85,0.84,1.0
pnotepad.csv,0.42,0.67,0.74,0.97,0.91,0.58,0.72,0.86,0.66,1.0,0.08,0.87
quark.csv,0.65,0.88,0.65,0.87,0.79,0.96,0.94,0.94,0.97,0.29,0.75,0.79
tango-cs.csv,0.96,0.86,0.83,0.99,0.91,0.76,0.52,0.96,0.86,1.0,0.91,0.5
xcsoar.csv,0.4,0.77,0.37,0.65,0.45,0.71,0.84,0.7,0.62,1.0,0.79,0.64
