,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.63,0.52,0.66,0.44,0.63,0.36,0.6,0.46,0.7,0.55,0.61,0.4
gamestone.csv,0.16,0.87,0.17,0.45,0.47,0.02,0.34,0.17,0.32,0.18,0.12,0.53
gbif-providertoolkit.csv,0.42,0.0,0.4,0.39,0.83,0.05,0.63,0.56,0.27,0.4,0.0,0.28
heekscad.csv,0.78,0.64,0.7,0.65,0.64,0.52,0.55,0.57,0.55,0.57,0.71,0.63
igarden.csv,0.57,0.53,0.34,0.66,0.25,0.34,0.35,0.13,0.18,0.77,0.42,0.44
levent.csv,0.36,0.15,0.0,0.0,0.64,0.72,0.05,0.0,0.0,0.0,0.0,0.0
libmesh.csv,0.36,0.0,0.31,0.32,0.25,0.0,0.65,0.53,0.29,0.1,0.36,0.11
openmsx.csv,0.37,0.34,0.27,0.56,0.62,0.32,0.44,0.57,0.39,0.18,0.47,0.0
pnotepad.csv,0.67,0.68,0.61,0.13,0.34,0.63,0.58,0.46,0.64,0.0,0.93,0.42
quark.csv,0.4,0.15,0.41,0.16,0.25,0.05,0.1,0.07,0.02,0.83,0.29,0.34
tango-cs.csv,0.17,0.45,0.49,0.05,0.34,0.35,0.75,0.17,0.44,0.0,0.41,0.64
xcsoar.csv,0.68,0.29,0.72,0.58,0.7,0.37,0.34,0.43,0.49,0.0,0.25,0.56
