,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.44,0.46,0.37,0.3,0.46,0.56,0.5,0.59,0.36,0.4,0.45,0.37
gamestone.csv,0.9,0.47,0.93,0.55,0.77,0.67,0.43,0.95,0.81,0.93,0.86,0.38
gbif-providertoolkit.csv,0.56,0.95,0.75,0.85,0.6,0.5,0.81,0.56,0.97,0.58,0.56,0.95
heekscad.csv,0.36,0.58,0.4,0.4,0.39,0.34,0.44,0.41,0.37,0.37,0.4,0.35
igarden.csv,0.49,0.65,0.94,0.49,0.93,0.88,0.71,0.93,0.92,0.61,0.7,0.45
levent.csv,0.74,0.5,0.0,0.0,0.37,0.46,0.75,0.0,0.0,0.0,0.0,0.0
libmesh.csv,0.83,0.83,0.8,0.72,0.92,0.0,0.91,0.73,0.97,0.89,0.87,0.83
openmsx.csv,0.49,0.43,0.94,0.33,0.43,0.47,0.47,0.69,0.71,0.75,0.55,0.0
pnotepad.csv,0.39,0.54,0.36,0.31,0.33,0.43,0.46,0.42,0.31,0.34,0.41,0.32
quark.csv,0.6,0.5,0.71,0.88,0.89,0.5,0.9,0.88,0.5,0.54,0.75,0.59
tango-cs.csv,0.5,0.53,0.42,0.31,0.39,0.64,0.67,0.41,0.4,0.34,0.57,0.53
xcsoar.csv,0.36,0.6,0.37,0.37,0.42,0.48,0.37,0.45,0.4,0.34,0.6,0.39
