,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.19,0.73,0.41,0.69,0.7,0.29,0.66,0.27,0.44,0.59,0.38,0.06,0.83,0.42,0.71
grafx2.csv,0.17,0.68,0.33,0.56,0.79,0.25,0.45,0.21,0.48,0.13,0.58,0.04,0.71,0.43,0.54
keyczar.csv,0.0,0.23,0.21,0.17,0.18,0.03,0.32,0.1,0.14,0.22,0.33,0.0,0.0,0.79,0.21
lmms.csv,0.17,0.72,0.48,0.69,0.7,0.34,0.67,0.3,0.44,0.6,0.47,0.05,0.42,0.75,0.75
lufa-lib.csv,0.18,0.6,0.15,0.55,0.57,0.28,0.51,0.19,0.44,0.64,0.29,0.0,0.51,0.75,0.6
netatalk.csv,0.19,0.73,0.2,0.56,0.72,0.23,0.49,0.18,0.5,0.47,0.53,0.06,0.77,0.73,0.82
openmeetings.csv,0.26,0.6,0.6,0.56,0.75,0.33,0.56,0.48,0.47,0.39,0.44,0.04,0.64,0.19,0.59
openxava.csv,0.2,0.36,0.24,0.51,0.26,0.28,0.52,0.36,0.39,0.33,0.51,0.12,0.31,0.67,0.49
pgui.csv,0.0,0.01,0.3,0.68,0.65,0.0,0.0,0.4,0.58,0.59,0.47,0.0,0.89,0.86,0.7
qpe.csv,0.26,0.55,0.41,0.69,0.75,0.32,0.39,0.26,0.52,0.6,0.45,0.02,0.57,0.39,0.58
quickfast.csv,0.14,0.76,0.28,0.58,0.7,0.3,0.61,0.21,0.41,0.5,0.45,0.05,0.79,0.82,0.78
rsyslog.csv,0.21,0.71,0.36,0.79,0.72,0.26,0.43,0.15,0.5,0.52,0.41,0.05,0.79,0.41,0.56
sylpheed-claws.csv,0.15,0.77,0.25,0.68,0.69,0.3,0.69,0.24,0.44,0.6,0.42,0.05,0.9,0.86,0.75
xqilla.csv,0.09,0.34,0.14,0.07,0.35,0.09,0.28,0.11,0.15,0.19,0.29,0.46,0.28,0.39,0.37
yale.csv,0.14,0.65,0.5,0.68,0.69,0.34,0.28,0.27,0.34,0.59,0.42,0.0,0.72,0.61,0.55
