,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.87,0.75,0.91,1.0,1.0,0.81,0.97,0.69,1.0,0.99,0.86,1.0,0.73,0.29,0.81
grafx2.csv,0.41,0.6,0.91,0.54,0.74,0.55,0.38,0.19,0.66,0.1,0.79,0.67,0.58,0.29,0.43
keyczar.csv,0.0,0.13,0.14,0.12,0.12,0.01,0.22,0.06,0.13,0.18,0.36,0.0,0.0,0.71,0.13
lmms.csv,0.9,0.69,0.73,0.96,0.72,0.58,1.0,0.81,0.89,0.99,0.93,0.67,0.27,0.69,0.83
lufa-lib.csv,0.72,0.51,0.41,0.5,0.74,0.49,0.54,0.94,0.6,0.66,0.43,0.0,0.36,0.69,0.66
netatalk.csv,0.72,0.75,0.59,0.46,0.74,0.71,0.43,0.88,0.62,0.44,0.64,1.0,0.7,0.67,0.85
openmeetings.csv,0.56,0.48,0.91,0.46,0.67,0.77,0.54,0.62,0.68,0.39,0.64,0.33,0.48,0.1,0.47
openxava.csv,0.51,0.24,0.55,0.38,0.16,0.41,0.47,0.88,0.57,0.32,0.71,0.67,0.2,0.56,0.36
pgui.csv,0.0,0.01,0.95,1.0,0.56,0.0,0.0,0.25,0.7,0.99,1.0,0.0,0.95,1.0,0.91
qpe.csv,0.72,0.46,0.64,0.73,0.77,0.63,0.27,0.44,0.72,0.94,0.79,0.33,0.42,0.27,0.47
quickfast.csv,0.85,0.89,0.95,0.73,0.95,0.77,0.79,0.56,0.89,0.76,0.86,1.0,0.77,0.9,0.77
rsyslog.csv,0.79,0.71,0.77,0.81,0.67,0.75,0.32,0.75,0.74,0.6,0.5,1.0,0.71,0.27,0.45
sylpheed-claws.csv,1.0,0.97,0.95,1.0,1.0,0.91,0.69,0.94,0.7,1.0,1.0,1.0,1.0,1.0,1.0
xqilla.csv,0.1,0.23,0.45,0.04,0.21,0.1,0.17,0.06,0.15,0.15,0.29,1.0,0.17,0.27,0.26
yale.csv,0.72,0.66,0.55,1.0,1.0,0.51,0.25,0.44,0.38,0.99,1.0,0.0,0.65,0.5,0.55
