,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.5,0.98,0.49,0.66,0.31,0.79,0.54,0.27,0.44,0.67,0.89
biopax.csv,0.91,0.82,0.83,0.83,0.83,0.94,1.0,0.98,0.96,1.0,1.0
crux-framework.csv,0.0,0.0,0.0,0.06,0.0,0.02,0.0,0.0,0.0,1.0,0.0
kml.csv,0.75,0.75,0.66,0.8,1.0,0.73,0.62,0.7,0.42,1.0,0.59
les-indemodables.csv,0.48,0.41,0.67,0.49,0.44,0.48,0.97,0.26,0.35,1.0,0.33
metacosm.csv,0.41,0.18,0.21,0.2,0.25,0.37,0.51,0.17,0.34,0.33,0.93
moviesandbox.csv,0.93,0.36,0.32,0.49,0.25,0.48,0.62,0.69,0.28,0.33,0.56
sigil.csv,0.84,0.61,0.39,0.69,0.44,0.98,0.65,0.8,0.51,1.0,0.78
unflobtactical.csv,0.66,0.48,0.47,1.0,0.36,0.65,0.59,0.82,0.31,1.0,0.67
xtreemfs.csv,0.68,0.48,0.7,0.77,0.58,0.71,0.78,0.99,0.54,1.0,0.85
yale.csv,0.27,0.64,0.88,0.49,0.33,0.19,0.3,0.48,0.44,0.33,0.41
