,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.65,0.98,0.22,0.7,0.46,0.75,0.33,0.84,0.84,0.03,0.62
biopax.csv,0.59,0.58,0.16,0.62,0.52,0.65,0.39,0.85,0.99,0.03,0.49
crux-framework.csv,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
kml.csv,0.65,0.73,0.18,0.78,1.0,0.78,0.45,0.85,1.0,0.04,0.55
les-indemodables.csv,0.66,0.64,0.17,0.77,0.67,0.74,1.0,0.75,0.86,0.04,0.69
metacosm.csv,0.72,0.67,0.21,0.78,0.64,0.83,0.45,0.85,0.83,0.03,1.0
moviesandbox.csv,1.0,0.7,0.19,0.77,0.82,0.83,0.52,0.98,1.0,0.02,0.56
sigil.csv,0.67,0.82,0.27,0.8,0.89,1.0,0.39,0.95,1.0,0.05,0.57
unflobtactical.csv,0.67,0.95,0.25,1.0,0.87,0.79,0.41,0.95,0.76,0.05,0.58
xtreemfs.csv,0.57,0.88,0.17,0.77,0.72,0.76,0.41,1.0,0.93,0.04,0.57
yale.csv,0.41,0.45,0.99,0.47,0.28,0.3,0.21,0.83,0.63,0.06,0.42
