,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.53,0.98,0.52,0.65,0.35,0.75,0.49,0.31,0.48,0.6,0.78
biopax.csv,0.53,0.65,0.55,0.62,0.6,0.66,0.41,0.27,0.96,0.0,0.36
crux-framework.csv,0.0,0.0,0.0,0.07,0.0,0.02,0.0,0.0,0.0,1.0,0.0
kml.csv,0.68,0.74,0.61,0.78,1.0,0.72,0.61,0.58,0.48,0.62,0.59
les-indemodables.csv,0.51,0.45,0.59,0.53,0.48,0.52,0.98,0.29,0.39,0.68,0.38
metacosm.csv,0.45,0.21,0.25,0.24,0.29,0.42,0.53,0.2,0.38,0.37,0.94
moviesandbox.csv,0.94,0.41,0.36,0.53,0.29,0.53,0.63,0.73,0.33,0.36,0.57
sigil.csv,0.74,0.65,0.44,0.7,0.49,0.98,0.59,0.79,0.57,0.82,0.69
unflobtactical.csv,0.65,0.53,0.51,1.0,0.41,0.67,0.57,0.8,0.35,0.84,0.65
xtreemfs.csv,0.57,0.53,0.6,0.75,0.61,0.7,0.64,0.99,0.58,0.74,0.72
yale.csv,0.3,0.39,0.9,0.42,0.3,0.21,0.31,0.48,0.26,0.38,0.43
