,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.41,0.57,0.7,0.42,0.79,0.49,0.62,0.68,0.7,0.48,0.44
biopax.csv,0.37,0.5,0.45,0.34,0.33,0.44,0.48,0.3,0.51,0.42,0.4
crux-framework.csv,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.67,0.0
kml.csv,0.37,0.56,0.56,0.39,0.44,0.43,0.45,0.4,0.63,0.39,0.41
les-indemodables.csv,0.56,0.46,0.52,0.5,0.54,0.59,0.61,0.57,0.72,0.38,0.69
metacosm.csv,0.48,0.83,0.93,0.89,0.93,0.52,0.52,0.88,0.72,0.62,0.52
moviesandbox.csv,0.51,0.74,0.89,0.5,0.91,0.6,0.48,0.47,0.85,0.57,0.41
sigil.csv,0.38,0.48,0.85,0.37,0.72,0.47,0.48,0.4,0.64,0.49,0.41
unflobtactical.csv,0.4,0.64,0.65,0.49,0.73,0.47,0.5,0.39,0.69,0.42,0.42
xtreemfs.csv,0.42,0.5,0.44,0.37,0.48,0.49,0.51,0.34,0.63,0.42,0.45
yale.csv,0.86,0.58,0.99,0.61,0.53,0.85,0.87,0.56,0.53,0.94,0.69
