,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.56,0.98,0.3,0.68,0.37,0.77,0.41,0.41,0.57,0.06,0.73
biopax.csv,0.71,0.68,0.27,0.71,0.64,0.77,0.56,0.91,0.97,0.05,0.66
crux-framework.csv,0.0,0.0,0.0,0.11,0.0,0.04,0.0,0.0,0.0,1.0,0.0
kml.csv,0.69,0.74,0.28,0.79,1.0,0.75,0.52,0.77,0.59,0.07,0.57
les-indemodables.csv,0.55,0.5,0.27,0.6,0.53,0.58,0.99,0.39,0.5,0.07,0.45
metacosm.csv,0.52,0.29,0.21,0.32,0.36,0.51,0.48,0.28,0.48,0.06,0.96
moviesandbox.csv,0.96,0.48,0.24,0.6,0.38,0.61,0.57,0.81,0.44,0.04,0.56
sigil.csv,0.75,0.7,0.32,0.74,0.59,0.99,0.49,0.87,0.67,0.09,0.66
unflobtactical.csv,0.67,0.64,0.32,1.0,0.51,0.72,0.48,0.88,0.44,0.1,0.62
xtreemfs.csv,0.62,0.62,0.27,0.77,0.65,0.73,0.54,0.99,0.68,0.08,0.69
yale.csv,0.33,0.53,0.93,0.48,0.3,0.24,0.25,0.61,0.52,0.1,0.42
