,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.34,0.02,0.31,0.38,0.33,0.38,0.63,0.28,0.3,0.57,0.48
biopax.csv,0.8,0.65,0.77,0.69,0.72,0.7,0.88,0.93,0.05,1.0,0.9
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
kml.csv,0.51,0.3,0.53,0.31,0.0,0.3,0.43,0.66,0.0,0.75,0.42
les-indemodables.csv,0.31,0.25,0.6,0.19,0.21,0.24,0.0,0.48,0.2,0.7,0.13
metacosm.csv,0.2,0.1,0.15,0.08,0.13,0.11,0.35,0.16,0.25,0.28,0.0
moviesandbox.csv,0.0,0.18,0.23,0.19,0.05,0.14,0.32,0.08,0.0,0.38,0.39
sigil.csv,0.51,0.15,0.19,0.23,0.05,0.0,0.57,0.23,0.0,0.53,0.52
unflobtactical.csv,0.4,0.02,0.25,0.0,0.05,0.24,0.49,0.25,0.35,0.48,0.42
xtreemfs.csv,0.66,0.08,0.61,0.31,0.21,0.32,0.63,0.02,0.15,0.64,0.55
yale.csv,0.49,0.85,0.0,0.73,0.79,0.62,0.63,0.54,0.9,0.15,0.48
