,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,1.0,0.91,0.07,0.33,0.64,0.28,0.47,0.29,0.8,1.0,0.15
gdis.csv,0.66,0.46,0.08,0.11,0.32,0.1,0.54,0.24,1.0,0.21,0.06
genoviz.csv,1.0,1.0,0.03,0.07,0.7,0.25,1.0,0.44,0.8,0.36,1.0
kml.csv,0.86,0.63,0.09,0.11,0.48,0.19,1.0,0.16,0.86,0.16,0.14
omseek.csv,0.8,1.0,0.15,0.1,0.56,1.0,0.45,0.5,0.78,0.12,0.06
ossbuild.csv,0.8,0.56,0.85,0.16,0.59,0.21,0.67,0.64,0.87,0.23,0.18
popeye-chess.csv,0.76,0.94,0.09,0.1,0.45,0.15,0.73,0.27,0.9,0.13,0.12
quarkplayer.csv,0.55,0.29,0.0,1.0,0.29,0.06,0.32,0.24,0.77,0.09,0.1
turbotrader-bos.csv,0.71,0.66,0.32,0.12,0.97,0.11,0.69,0.32,0.93,0.21,0.25
virtuoso.csv,0.64,0.74,0.1,0.07,0.34,0.12,0.71,0.97,0.9,0.18,0.14
zscreen.csv,1.0,0.62,0.12,0.09,0.44,0.15,0.6,0.29,0.85,0.17,0.14
