,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.11,0.29,0.16,0.27,0.44,0.24,0.47,0.6,0.14,0.92,0.6
gdis.csv,0.72,1.0,0.38,0.91,0.8,0.64,0.72,0.76,1.0,0.67,0.4
genoviz.csv,0.09,0.14,0.03,0.09,0.23,0.09,0.03,0.36,0.21,0.33,1.0
kml.csv,0.41,0.49,0.31,0.64,0.78,0.76,0.92,0.21,0.53,0.5,0.6
omseek.csv,0.17,0.11,0.75,0.36,0.25,0.97,0.72,0.24,0.61,0.17,0.2
ossbuild.csv,0.52,0.71,0.91,0.73,0.65,0.64,0.22,0.43,0.35,0.25,0.8
popeye-chess.csv,0.48,0.97,0.5,0.73,0.85,0.73,0.75,0.83,0.67,0.58,1.0
quarkplayer.csv,0.48,0.2,0.0,1.0,0.18,0.24,0.36,0.48,0.63,0.08,0.4
turbotrader-bos.csv,0.48,0.66,0.25,0.45,0.99,0.36,0.25,0.33,0.25,0.33,0.8
virtuoso.csv,0.76,0.4,0.44,0.91,0.81,0.91,0.14,0.86,0.32,0.83,1.0
zscreen.csv,0.96,0.94,0.97,0.91,0.86,0.79,0.83,0.83,0.68,0.67,1.0
