,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.0,0.02,0.32,0.04,0.12,0.08,0.49,0.44,0.15,0.0,0.38
gdis.csv,0.63,0.93,0.61,0.51,0.83,0.71,0.56,0.71,0.0,0.44,0.76
genoviz.csv,0.0,0.0,0.15,0.08,0.05,0.03,0.0,0.14,0.23,0.1,0.0
kml.csv,0.11,0.23,0.45,0.37,0.42,0.4,0.0,0.35,0.38,0.45,0.4
omseek.csv,0.07,0.0,0.63,0.22,0.1,0.0,0.82,0.07,0.77,0.2,0.36
ossbuild.csv,0.22,0.45,0.02,0.27,0.23,0.29,0.1,0.07,0.23,0.14,0.4
popeye-chess.csv,0.26,0.05,0.78,0.48,0.53,0.52,0.26,0.67,0.31,0.63,0.84
quarkplayer.csv,0.67,0.39,0.0,0.0,0.22,0.49,0.72,0.46,0.85,0.14,0.42
turbotrader-bos.csv,0.33,0.27,0.08,0.23,0.01,0.35,0.1,0.21,0.08,0.21,0.27
virtuoso.csv,0.74,0.11,0.59,0.84,0.79,0.8,0.05,0.01,0.15,0.65,0.71
zscreen.csv,0.0,0.45,1.0,0.64,0.55,0.54,0.51,0.61,0.54,0.55,0.69
