,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,98.5,481.0,1259.5,393.0,98.5,193.0,724.5,1160.5,197.5,95.5
chaosrts.csv,98.5,99.0,1519.0,981.5,92.5,98.5,1407.5,460.5,197.5,98.5
lazarus-ccr.csv,98.5,99.0,1519.0,5776.0,189.0,98.5,1275.5,1408.0,196.5,99.0
linuxsh.csv,98.5,99.0,614.5,488.0,98.5,90.5,121.5,99.0,89.5,95.5
migen.csv,98.5,180.0,797.0,785.0,98.5,94.5,177.5,359.0,196.5,99.0
moviesandbox.csv,98.5,95.5,439.5,780.0,98.5,189.5,298.5,121.0,89.5,98.5
sauerbraten.csv,98.5,99.0,1519.0,1666.5,98.5,197.5,2256.0,1911.0,196.5,99.0
scite-ru.csv,98.5,99.0,700.0,1665.5,98.5,197.5,716.5,1824.5,97.5,99.0
vrjuggler.csv,53.5,89.5,0.0,173.5,80.5,95.5,421.5,1166.5,81.5,97.5
xuggle.csv,95.5,99.0,962.5,594.5,98.5,192.0,1189.0,1023.5,97.5,99.0
