,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.6,0.52,0.53,0.89,0.93,0.56,0.5,0.53,0.8,0.9,0.62,0.76,0.5,0.88,0.92,0.75
fontforge.csv,0.62,0.48,0.73,0.47,0.48,0.55,0.88,0.52,0.57,0.34,0.74,0.57,0.42,0.68,0.52,0.53
glas.csv,0.62,0.47,0.67,0.56,0.46,0.55,0.5,0.91,0.53,0.47,0.67,0.62,0.45,0.59,0.6,0.45
hannosset.csv,0.93,0.5,0.8,0.0,0.99,0.75,0.0,0.0,0.0,0.5,0.0,0.89,0.0,0.86,0.8,0.0
hatari.csv,0.44,0.54,0.59,0.41,0.44,0.52,0.78,0.31,0.51,0.32,0.53,0.47,0.67,0.95,0.89,0.81
jaolt.csv,0.39,0.33,0.47,0.33,0.38,0.4,0.43,0.31,0.41,0.31,0.44,0.39,0.41,0.61,0.38,0.52
ltp.csv,0.71,0.51,0.65,0.82,0.45,0.57,0.81,0.33,0.71,0.57,0.86,0.74,0.59,0.94,0.58,0.72
mia.csv,0.57,0.88,0.83,0.89,0.72,0.77,0.9,0.82,0.87,0.47,0.69,0.93,0.95,0.0,0.86,0.96
net-snmp.csv,0.57,0.51,0.9,0.67,0.55,0.62,0.59,0.44,0.5,0.64,0.55,0.66,0.73,0.59,0.67,0.65
opde.csv,0.41,0.41,0.48,0.74,0.37,0.43,0.42,0.33,0.49,0.38,0.48,0.49,0.43,0.94,0.39,0.62
oppna-program-hsatools.csv,0.36,0.33,0.36,0.35,0.33,0.37,0.37,0.28,0.42,0.35,0.42,0.41,0.37,0.5,0.6,0.38
powerfolder-.csv,0.67,0.65,0.0,0.67,0.93,0.84,0.0,0.45,0.91,0.91,0.97,0.92,0.88,0.0,0.88,0.0
qlc.csv,0.0,0.88,0.0,0.86,0.0,0.94,0.0,0.0,0.93,0.0,0.5,0.95,0.83,0.86,0.89,0.0
quantlib.csv,0.89,0.73,0.77,0.88,0.99,0.51,0.8,0.33,0.65,0.92,0.55,0.71,0.46,0.9,0.92,0.95
tcl.csv,0.94,0.94,0.92,0.94,0.99,0.97,0.5,0.69,0.96,0.51,0.95,0.98,0.75,0.97,0.75,0.94
