,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.53,0.45,0.42,0.67,0.62,1.0,0.03,0.42,0.13,0.3,0.97,0.1,0.78,0.5,0.08,0.0
fontforge.csv,0.47,0.4,0.33,0.43,0.67,0.4,0.12,1.0,0.2,0.55,0.79,0.07,0.79,0.43,0.03,0.16
glas.csv,0.5,0.27,0.31,0.33,0.69,0.37,0.03,0.36,0.13,0.51,0.74,0.1,0.72,0.97,0.07,0.23
hannosset.csv,0.5,0.0,1.0,1.0,0.78,0.0,0.0,0.0,0.0,0.0,1.0,0.22,1.0,0.29,1.0,0.0
hatari.csv,0.52,0.44,1.0,0.34,0.77,0.48,0.06,0.43,0.17,0.5,0.93,0.09,0.72,0.33,0.16,0.19
jaolt.csv,0.49,0.33,0.53,0.39,0.7,0.48,0.04,0.5,0.22,0.52,0.93,0.09,0.99,0.5,0.1,0.18
ltp.csv,0.52,0.28,0.42,0.65,0.98,0.53,0.06,0.42,0.13,0.68,0.89,0.05,0.65,0.44,0.16,0.21
mia.csv,0.35,0.88,0.3,0.33,0.65,0.36,0.1,0.47,0.13,0.52,0.73,1.0,0.75,1.0,0.0,0.09
net-snmp.csv,1.0,0.36,0.5,0.33,0.68,0.47,0.05,0.47,0.2,0.43,0.92,0.14,0.68,0.35,0.05,0.2
opde.csv,0.44,0.35,0.41,0.96,0.68,0.39,0.02,0.43,0.11,0.51,0.8,0.1,0.7,0.56,0.07,0.17
oppna-program-hsatools.csv,0.47,0.36,0.48,0.35,0.71,0.49,0.02,0.42,0.14,0.5,1.0,0.09,0.72,0.44,0.09,0.21
powerfolder-.csv,1.0,1.0,0.0,0.67,0.33,0.46,1.0,0.55,0.27,0.55,0.85,0.08,0.88,0.0,0.0,0.0
qlc.csv,0.0,0.46,0.0,0.14,0.0,0.19,1.0,0.0,1.0,1.0,0.5,0.2,0.83,0.2,0.11,0.0
quantlib.csv,0.5,0.47,0.62,0.12,0.57,0.38,0.1,0.5,0.18,0.54,0.8,0.24,0.71,0.5,0.08,1.0
tcl.csv,0.47,0.17,0.23,0.33,0.71,0.31,0.0,0.56,0.14,0.97,0.77,0.03,0.75,0.34,0.0,0.17
