,glelite.csv,yield.csv,ivataopenportal.csv,qtractor.csv,benojt.csv,emftriple.csv,javagroups.csv
benojt.csv,0.0,0.0,0.36,0.0,0.99,0.4,0.13
emftriple.csv,0.1,0.21,0.13,0.13,0.15,0.98,0.16
glelite.csv,0.97,0.31,0.05,0.49,0.0,0.47,0.56
ivataopenportal.csv,0.88,0.6,0.71,0.3,0.0,0.58,0.17
javagroups.csv,0.07,0.19,0.27,0.53,0.2,0.0,0.68
qtractor.csv,0.44,0.72,0.37,0.71,0.6,0.0,0.46
yield.csv,0.78,0.77,0.0,0.65,0.0,0.34,0.41
