,glelite.csv,yield.csv,ivataopenportal.csv,qtractor.csv,benojt.csv,emftriple.csv,javagroups.csv
benojt.csv,0.99,0.65,0.64,0.7,0.99,0.1,0.51
emftriple.csv,0.15,0.21,0.18,0.15,0.21,0.58,0.19
glelite.csv,0.98,0.35,0.68,0.7,0.93,0.12,0.52
ivataopenportal.csv,0.97,0.64,0.7,0.72,0.96,0.14,0.51
javagroups.csv,0.11,0.21,0.33,0.55,0.3,0.0,0.6
qtractor.csv,0.57,0.7,0.44,0.73,0.85,0.0,0.5
yield.csv,0.89,0.77,0.68,0.66,0.96,0.11,0.5
