,glelite.csv,yield.csv,ivataopenportal.csv,qtractor.csv,benojt.csv,emftriple.csv,javagroups.csv
benojt.csv,1.0,1.0,0.86,1.0,0.99,0.64,0.98
emftriple.csv,0.08,0.19,0.11,0.11,0.12,1.0,0.13
glelite.csv,0.96,0.27,0.99,0.93,0.89,0.73,0.85
ivataopenportal.csv,0.95,0.83,0.72,1.0,0.96,0.73,0.96
javagroups.csv,0.06,0.16,0.23,0.57,0.17,0.0,0.68
qtractor.csv,0.4,0.73,0.33,0.71,0.76,0.0,0.87
yield.csv,0.81,0.76,1.0,0.68,0.95,0.73,0.87
