,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.24,0.45,0.0,0.6,0.37,0.52,0.24,0.33,0.29,0.35,0.27,0.34,0.13
avisynth2.csv,0.01,0.03,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0
beast-mcmc.csv,0.0,0.32,0.15,0.35,0.05,0.16,0.04,0.8,0.21,0.16,0.07,0.21,0.22
dataobjectsdotnet.csv,0.27,0.34,0.21,0.29,0.13,0.27,0.32,0.33,0.26,0.01,0.21,0.19,0.33
exist.csv,0.27,0.26,0.15,0.54,0.17,0.02,0.16,0.48,0.35,0.29,0.09,0.19,0.06
foursquared.csv,0.09,0.21,0.15,0.25,0.08,0.32,0.12,0.0,0.21,0.16,0.13,0.42,0.26
jaxlib.csv,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.04,0.02,0.01,0.0,0.0,0.02
jrefactory.csv,0.32,0.0,0.35,0.54,0.33,0.25,0.6,0.5,0.19,0.45,0.23,0.34,0.31
nodal.csv,0.05,0.26,0.08,0.65,0.0,0.26,0.24,0.26,0.11,0.15,0.1,0.11,0.07
opendvr.csv,0.39,0.32,0.17,0.71,0.63,0.42,0.52,0.59,0.44,0.58,0.21,0.0,0.57
pokenetonline.csv,0.57,0.84,0.29,0.9,0.57,0.88,0.0,0.54,0.89,0.74,0.5,0.45,0.28
simplewebservices.csv,0.35,0.26,0.31,0.46,0.57,0.28,0.16,0.52,0.5,0.42,0.0,0.32,0.43
uface.csv,0.76,0.55,0.96,0.94,0.92,0.71,0.92,0.78,0.98,0.6,0.0,0.94,0.0
