,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.38,0.34,0.97,0.12,0.26,0.52,0.62,0.41,0.0,0.37,0.39,0.22,0.54
avisynth2.csv,0.06,0.07,0.0,0.0,0.0,0.05,0.1,0.0,1.0,0.01,0.0,0.0,0.04
beast-mcmc.csv,0.98,0.42,0.32,0.0,0.32,0.52,0.42,0.53,0.22,0.42,0.27,0.22,0.54
dataobjectsdotnet.csv,0.41,0.71,0.37,0.12,0.23,0.47,0.54,0.5,0.1,0.98,0.28,0.22,0.43
exist.csv,0.53,0.49,0.26,0.0,0.34,0.97,0.53,0.39,0.08,0.44,0.15,0.17,0.45
foursquared.csv,0.33,0.31,0.49,0.13,0.13,0.36,0.5,0.98,0.0,0.38,0.21,0.37,0.63
jaxlib.csv,0.09,0.04,0.12,1.0,0.0,0.0,0.03,0.14,0.4,0.0,0.0,0.0,0.18
jrefactory.csv,0.38,0.97,0.44,0.13,0.46,0.55,0.56,0.38,0.12,0.5,0.32,0.43,0.56
nodal.csv,0.26,0.23,0.36,0.0,0.93,0.49,0.31,0.36,0.18,0.2,0.15,0.53,0.22
opendvr.csv,0.51,0.46,0.34,0.05,0.42,0.6,0.65,0.43,0.12,0.44,0.35,1.0,0.58
pokenetonline.csv,0.49,0.57,0.6,0.09,0.34,0.72,1.0,0.62,0.1,0.47,0.57,0.36,0.66
simplewebservices.csv,0.49,0.6,0.48,0.08,0.34,0.45,0.72,0.45,0.06,0.5,0.98,0.44,0.49
uface.csv,0.43,0.56,0.7,0.04,0.36,0.72,0.8,0.55,0.09,0.46,0.02,0.45,1.0
