,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,0.0,0.05,0.25,0.12,0.04,0.18,0.12,0.14,0.2,1.0,0.07,0.4,0.0,0.03,0.41,0.08,0.95,0.0,0.2,0.18
blogentis.csv,1.0,0.54,1.0,0.88,0.59,0.45,1.0,0.37,0.2,1.0,0.57,0.6,0.67,0.5,0.53,0.54,0.43,0.67,0.43,0.18
carabiner.csv,1.0,0.85,1.0,0.69,0.45,0.64,0.62,0.29,0.5,1.0,0.72,0.6,0.67,0.87,0.82,0.85,0.62,0.67,0.11,1.0
continuum-ide.csv,0.0,0.21,0.0,0.19,0.06,0.09,0.25,0.08,0.0,1.0,0.25,0.2,0.0,0.2,1.0,0.31,0.29,0.0,0.0,0.14
emulemorph.csv,0.0,0.03,0.0,0.0,0.02,0.27,0.0,0.02,0.0,0.0,0.01,0.0,0.83,0.0,0.0,0.08,0.1,0.17,0.0,0.0
gtad.csv,1.0,0.13,0.0,0.06,0.02,0.27,0.08,0.04,0.0,1.0,0.08,0.2,0.17,0.03,0.06,0.23,0.1,0.0,0.0,0.0
htmlunit.csv,0.5,0.33,0.0,0.69,0.24,0.27,0.46,0.18,0.1,0.0,0.95,0.6,0.17,0.57,0.29,0.46,0.19,0.0,0.11,0.27
jaxen.csv,0.0,0.08,0.0,0.0,0.0,0.27,0.04,0.0,0.0,0.0,0.02,1.0,0.0,0.03,0.0,0.31,0.0,0.0,0.0,0.0
jsr308-langtools.csv,0.5,0.92,0.75,0.94,0.45,0.55,0.54,0.25,0.2,0.0,0.59,0.4,0.0,1.0,0.76,0.62,0.52,0.67,0.26,0.45
jvcl.csv,0.0,0.03,0.0,0.88,0.02,0.0,0.33,0.47,0.1,0.0,0.09,0.6,0.17,0.27,0.0,0.23,0.05,0.0,0.0,0.23
kaffeine.csv,1.0,1.0,0.75,1.0,0.98,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.95
m-m-m.csv,1.0,0.67,0.75,0.5,0.53,0.18,0.42,1.0,0.4,1.0,0.72,1.0,0.17,0.63,0.82,0.23,0.81,0.17,0.68,0.23
motu.csv,0.0,0.15,0.5,0.62,0.04,0.27,0.25,0.14,0.2,0.0,0.34,0.6,0.0,0.6,0.29,1.0,0.1,0.0,0.02,0.05
nh3d.csv,0.0,0.05,1.0,0.0,0.1,0.09,0.17,0.0,0.2,1.0,0.07,0.2,0.33,0.0,0.24,0.23,0.14,0.0,0.12,0.0
sarasvati.csv,0.0,0.56,0.0,0.06,0.06,1.0,0.08,0.0,0.4,0.0,0.07,0.0,0.0,0.0,0.12,0.08,0.14,0.33,0.18,0.0
stemkit.csv,0.0,0.0,0.0,0.25,0.22,0.0,0.04,0.06,0.2,0.0,0.15,0.0,0.0,0.03,0.0,0.0,0.05,1.0,0.31,0.05
taokgame.csv,0.0,0.05,0.0,0.19,0.08,0.09,0.25,0.06,1.0,1.0,0.02,0.4,0.17,0.1,0.06,0.62,0.24,0.17,0.08,0.41
wgs-assembler.csv,0.5,0.97,0.25,1.0,0.2,0.64,0.5,0.24,0.5,1.0,0.47,0.8,0.0,0.5,0.53,0.54,0.43,0.33,0.05,0.05
zabbix.csv,1.0,0.79,0.75,0.94,0.88,0.91,1.0,0.71,0.8,1.0,0.85,1.0,0.83,0.77,0.82,0.77,0.86,1.0,1.0,0.82
