,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.0,0.0,0.86,0.0,0.33,0.83,1.0,0.08,0.44,0.0,0.07,0.29,1.0,0.57,0.47,0.0,0.52
codeblocks.csv,0.49,0.83,0.64,0.87,0.23,0.56,0.88,0.22,0.47,0.08,0.06,0.25,0.99,0.67,0.35,0.91,0.53
grisbi.csv,0.53,0.77,0.57,0.59,0.24,0.49,0.98,0.1,0.35,0.12,0.07,0.34,0.98,0.5,0.38,0.98,0.65
libmesh.csv,0.47,0.66,0.53,0.64,0.16,0.15,0.68,0.12,0.57,0.12,0.04,0.23,0.93,0.56,0.0,1.0,0.59
panda3d.csv,0.42,0.76,0.59,0.55,0.21,0.46,0.92,0.13,0.25,0.23,0.07,0.4,0.96,0.55,0.26,0.98,0.49
proftp.csv,0.44,0.91,1.0,0.0,0.24,0.71,0.95,0.12,0.2,0.0,0.0,0.42,1.0,0.64,0.5,1.0,0.43
red5.csv,0.51,0.79,0.56,0.76,0.21,0.49,0.7,0.15,0.44,0.09,0.06,0.28,0.99,0.53,0.36,0.96,0.56
skia.csv,0.61,0.84,0.56,0.68,0.3,0.61,0.93,0.19,0.18,0.17,0.07,0.39,1.0,0.68,0.54,0.98,0.65
soar.csv,0.5,0.75,0.51,0.58,0.21,0.45,0.82,0.11,0.36,0.12,0.05,0.31,0.95,0.82,0.34,0.96,0.65
super-tux.csv,0.42,0.75,0.62,0.67,0.22,0.49,0.75,0.18,0.41,0.11,0.07,0.32,0.99,0.5,0.34,0.96,0.58
t-2.csv,0.49,0.76,0.61,0.61,0.23,0.4,0.81,0.33,0.57,0.11,0.08,0.24,0.97,0.52,0.29,0.93,0.57
tart.csv,0.75,0.78,0.54,0.59,0.29,0.5,0.91,0.09,0.32,0.12,0.18,0.42,0.98,0.51,0.35,1.0,0.51
tcvp.csv,0.67,0.76,0.0,1.0,0.0,0.0,0.0,0.43,0.0,0.29,0.0,0.0,1.0,0.0,0.12,0.75,0.0
tencompetence.csv,0.62,0.6,0.56,0.5,0.19,0.18,0.89,0.07,0.38,0.0,0.0,0.33,0.93,0.62,0.3,0.97,0.85
utgb.csv,0.27,0.81,0.75,0.62,0.23,0.53,0.97,0.05,0.33,0.13,0.06,0.45,0.98,0.53,0.38,0.98,0.59
xbrlapi.csv,0.7,0.71,0.49,0.56,0.25,0.8,0.97,0.14,0.35,0.0,0.05,0.26,0.5,0.56,0.33,0.0,0.58
zemljanka.csv,0.5,0.81,0.53,0.6,0.24,0.49,0.92,0.12,0.27,0.1,0.08,0.34,0.94,0.55,0.38,1.0,0.66
