,xstore.csv,pcsx2.csv,dataobjectsdotnet.csv,img-browse-sort.csv
dataobjectsdotnet.csv,0.2,0.11,0.59,0.43
img-browse-sort.csv,0.6,0.67,0.43,0.65
pcsx2.csv,0.69,0.72,0.56,0.42
xstore.csv,0.71,0.67,0.51,0.64
