,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.46,0.0,0.0,0.99,0.13,0.0,0.24,0.0,0.0,0.09
chrysalis.csv,0.61,0.6,0.55,0.75,0.79,0.29,0.67,0.34,0.2,0.87
jahshaka.csv,0.56,0.81,0.41,0.33,0.58,0.57,0.49,0.25,0.46,0.76
jam-daq.csv,0.57,0.11,0.32,0.48,0.64,0.27,0.7,0.13,0.2,0.13
jatlas.csv,0.55,0.62,0.53,0.59,0.97,0.09,0.62,0.21,0.2,0.49
jedit.csv,0.75,0.0,0.57,0.0,0.23,0.33,0.0,0.17,0.13,0.53
mscore.csv,0.58,0.56,0.52,0.0,0.66,0.71,0.24,0.63,0.59,0.67
open-media-library.csv,0.58,0.41,0.72,0.54,0.76,0.57,0.71,0.47,0.51,0.0
panda3d.csv,0.52,0.67,0.45,0.62,0.74,0.24,0.59,0.53,0.53,0.72
wheat.csv,0.42,0.48,0.45,0.57,0.41,0.58,0.52,0.69,0.44,0.25
