,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.0,4.0,4.0,0.0,40.0,1.0,1.0,0.0,3.0,39.0
chrysalis.csv,2.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,5.0,3.0
jahshaka.csv,1.0,0.0,2.0,0.0,17.0,0.0,11.0,1.0,8.0,1.0
jam-daq.csv,3.0,2.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,8.0
jatlas.csv,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,11.0,3.0
jedit.csv,0.0,4.0,2.0,0.0,41.0,1.0,1.0,0.0,3.0,44.0
mscore.csv,2.0,3.0,0.0,0.0,19.0,0.0,1.0,1.0,1.0,17.0
open-media-library.csv,1.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,160.0
panda3d.csv,11.0,2.0,0.0,0.0,16.0,3.0,5.0,3.0,3.0,19.0
wheat.csv,3.0,14.0,4.0,0.0,25.0,3.0,1.0,0.0,3.0,18.0
