,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.85,1.0,1.0,0.0,0.97,1.0,0.94,1.0,1.0,0.98
chrysalis.csv,0.27,0.1,0.59,0.0,0.23,0.04,0.46,0.08,0.14,0.22
jahshaka.csv,0.17,0.24,0.54,0.0,0.5,0.24,0.76,0.17,0.41,0.39
jam-daq.csv,0.4,0.04,0.17,0.0,0.16,0.05,0.28,0.04,0.07,0.06
jatlas.csv,0.79,0.45,0.72,0.33,0.15,0.04,0.57,0.25,0.28,0.12
jedit.csv,0.2,1.0,0.65,1.0,0.94,0.91,1.0,0.96,0.97,0.81
mscore.csv,0.4,0.63,0.39,1.0,0.61,0.26,0.94,0.5,0.61,0.32
open-media-library.csv,0.65,0.12,0.28,0.67,0.35,0.36,0.57,0.29,0.34,0.05
panda3d.csv,0.29,0.18,0.35,0.0,0.44,0.13,0.43,0.58,0.3,0.59
wheat.csv,0.6,0.35,0.78,0.0,0.56,0.25,0.78,0.29,0.32,0.33
