,flylinkdc.csv,powerfolder-.csv,ltp.csv,pfaedit.csv,aime.csv,qtwin.csv
aime.csv,0.22,0.08,0.7,0.71,0.32,0.01
flylinkdc.csv,0.52,0.41,0.8,0.79,0.22,0.0
ltp.csv,0.28,0.32,0.81,0.61,0.23,0.0
pfaedit.csv,0.49,0.4,0.73,0.82,0.28,0.01
powerfolder-.csv,0.52,0.55,0.6,0.71,0.19,0.01
qtwin.csv,0.0,0.38,0.0,0.0,0.33,0.03
