,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,0.87,0.9,0.98,0.83,0.94,1.0,0.91,0.03,0.89,0.75,1.0,0.97,0.73,0.84,0.84,0.86
gephex.csv,0.68,0.92,0.7,0.75,0.56,0.83,0.57,0.67,0.86,0.64,0.94,1.1,0.06,0.82,0.68,0.76
intact.csv,0.76,0.7,0.78,0.03,0.73,0.69,0.7,0.59,1.0,0.86,1.04,1.0,0.8,0.87,0.87,0.77
jbpm.csv,0.87,0.5,0.93,0.72,0.08,1.02,0.72,0.84,0.68,0.79,0.79,1.0,0.72,0.7,0.79,0.77
jchassis.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,1.0
jpaul.csv,0.93,0.89,0.59,0.89,0.52,0.63,0.02,0.92,1.0,1.0,0.82,1.0,1.0,0.91,0.57,1.03
lamp.csv,0.14,0.92,0.77,0.87,0.83,0.9,0.82,0.91,0.51,0.71,0.69,1.0,0.79,0.79,0.73,0.75
mevenide.csv,0.8,0.67,0.7,0.6,0.71,0.74,0.81,0.84,0.7,0.79,0.96,0.82,0.66,0.67,0.0,0.75
opendvr.csv,0.61,0.58,0.66,0.67,0.64,0.72,0.53,0.75,0.68,0.74,0.58,0.58,0.67,0.09,0.67,0.65
panda3d.csv,0.93,0.95,0.91,0.91,0.81,0.98,0.94,0.92,0.73,0.02,0.83,1.03,0.87,1.0,0.9,1.0
retromenu.csv,0.85,0.69,0.05,0.84,0.83,0.92,0.65,0.75,1.0,0.8,1.0,1.0,0.85,0.87,0.64,0.77
rohxel.csv,0.77,0.83,0.84,0.77,0.94,0.0,0.68,0.86,0.98,0.84,0.96,0.91,0.89,0.84,0.82,0.84
sevenupdate.csv,0.99,0.0,0.77,0.97,0.93,0.87,1.02,0.95,0.89,0.92,1.0,1.0,0.93,1.0,0.98,0.92
soar.csv,0.88,0.82,0.66,0.84,0.91,0.63,0.84,0.8,0.71,0.78,0.03,0.42,0.69,0.61,0.83,0.65
stemkit.csv,0.86,0.92,0.72,1.0,0.98,0.85,1.0,1.0,0.0,0.98,0.91,1.0,0.94,1.0,0.97,1.0
thedata.csv,0.67,0.82,0.56,0.67,0.76,0.82,0.85,0.63,0.59,0.62,0.85,1.0,0.66,0.87,0.79,0.0
