,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,0.14,0.76,0.47,0.44,0.21,0.86,0.31,0.97,0.14,0.35,0.71,0.06,0.7,0.24,0.33,0.1
gephex.csv,0.19,0.71,0.46,0.38,0.27,0.56,0.47,0.43,0.16,0.5,0.11,0.0,0.97,0.41,0.34,0.15
intact.csv,0.16,0.54,0.51,0.98,0.2,0.48,0.35,0.48,0.0,0.21,0.46,0.0,0.35,0.21,0.17,0.12
jbpm.csv,0.1,0.68,0.2,0.37,0.95,0.77,0.36,0.33,0.14,0.33,0.65,0.0,0.52,0.44,0.29,0.1
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.0
jpaul.csv,0.11,0.21,0.49,0.16,0.38,0.61,0.97,0.13,0.0,0.0,0.29,0.0,0.0,0.14,0.43,0.0
lamp.csv,0.83,0.15,0.33,0.19,0.2,0.18,0.27,0.16,0.35,0.35,0.47,0.0,0.34,0.28,0.38,0.22
mevenide.csv,0.15,0.51,0.4,0.44,0.2,0.69,0.34,0.44,0.17,0.42,0.67,0.07,0.59,0.44,1.0,0.12
opendvr.csv,0.21,0.61,0.48,0.38,0.23,0.43,0.49,0.43,0.14,0.35,0.61,0.1,0.52,0.95,0.38,0.12
panda3d.csv,0.11,0.11,0.15,0.14,0.19,0.05,0.11,0.16,0.14,0.98,0.38,0.0,0.24,0.0,0.15,0.0
retromenu.csv,0.1,0.48,0.98,0.24,0.18,0.14,0.44,0.35,0.0,0.27,0.0,0.0,0.25,0.2,0.42,0.12
rohxel.csv,0.2,0.93,0.52,0.4,0.16,1.0,0.55,0.46,0.11,0.45,0.67,0.06,0.71,0.38,0.38,0.11
sevenupdate.csv,0.18,1.0,0.49,0.45,0.2,0.74,0.39,0.52,0.16,0.42,0.71,0.06,0.75,0.45,0.4,0.07
soar.csv,0.1,0.49,0.41,0.27,0.09,0.61,0.24,0.3,0.16,0.29,0.98,0.12,0.48,0.48,0.21,0.14
stemkit.csv,0.18,0.15,0.39,0.0,0.03,0.27,0.0,0.0,1.0,0.04,0.17,0.0,0.11,0.0,0.06,0.0
thedata.csv,0.18,0.49,0.49,0.39,0.17,0.33,0.21,0.45,0.19,0.43,0.27,0.0,0.58,0.21,0.26,1.0
