,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,0.08,0.87,0.31,0.3,0.12,0.78,0.22,0.97,0.07,0.28,0.55,0.03,0.65,0.21,0.22,0.06
gephex.csv,0.11,0.86,0.34,0.28,0.17,0.72,0.38,0.38,0.09,0.37,0.4,0.0,0.97,0.28,0.27,0.08
intact.csv,0.11,0.9,0.35,1.0,0.15,0.87,0.35,0.52,0.0,0.24,0.41,0.0,0.63,0.5,0.24,0.08
jbpm.csv,0.06,0.96,0.17,0.29,0.98,0.74,0.29,0.28,0.08,0.26,0.56,0.0,0.63,0.32,0.21,0.05
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0
jpaul.csv,0.2,0.86,0.56,0.21,0.3,0.83,0.94,0.56,0.0,0.0,0.6,0.0,0.0,0.33,0.37,0.0
lamp.csv,0.8,1.0,0.56,0.33,0.22,0.8,0.6,0.55,0.27,0.37,0.6,0.0,0.88,0.36,0.62,0.2
mevenide.csv,0.12,0.94,0.32,0.35,0.12,0.77,0.25,0.33,0.09,0.3,0.54,0.04,0.67,0.33,1.0,0.06
opendvr.csv,0.13,0.96,0.36,0.35,0.14,0.92,0.42,0.34,0.08,0.29,0.64,0.05,0.68,1.0,0.27,0.07
panda3d.csv,0.2,0.75,0.4,0.25,0.2,0.5,1.0,0.2,0.09,0.96,0.45,0.0,0.58,0.0,0.27,0.0
retromenu.csv,0.07,0.94,1.0,0.45,0.19,1.0,0.6,0.57,0.0,0.4,0.0,0.0,0.69,0.38,0.46,0.08
rohxel.csv,0.11,0.9,0.36,0.28,0.09,1.0,0.38,0.34,0.06,0.31,0.54,0.03,0.62,0.27,0.25,0.06
sevenupdate.csv,0.1,1.0,0.35,0.29,0.11,0.76,0.25,0.36,0.09,0.28,0.55,0.03,0.63,0.29,0.25,0.04
soar.csv,0.06,0.85,0.36,0.22,0.06,0.83,0.21,0.5,0.11,0.27,1.0,0.07,0.7,0.36,0.22,0.08
stemkit.csv,0.25,1.0,0.6,0.0,0.11,1.0,0.0,0.0,1.0,0.14,0.6,0.0,0.8,0.0,0.25,0.0
thedata.csv,0.11,0.85,0.46,0.41,0.12,0.8,0.27,0.48,0.12,0.4,0.46,0.0,0.67,0.19,0.28,1.0
