,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.4,0.94,0.43,0.46,0.44,0.31,0.43,0.33,0.48,0.48
bibedt.csv,0.6,0.18,0.42,0.24,0.1,0.67,1.0,0.6,0.32,0.59
cascading.csv,0.05,0.58,0.39,0.45,0.0,0.45,0.59,0.5,1.0,0.39
firebreath.csv,0.52,0.0,0.91,0.58,0.42,0.58,0.57,0.65,0.63,0.24
fritzing.csv,0.97,0.61,0.49,0.63,0.29,0.4,0.24,0.59,0.44,0.54
httpcontentparser.csv,0.36,0.6,0.06,0.0,0.1,0.92,0.23,0.04,0.06,0.35
mpgravity.csv,0.62,0.5,0.57,0.45,1.0,0.69,0.66,0.65,0.35,0.63
patterntesting.csv,0.6,0.38,0.55,1.0,0.1,0.73,0.81,0.75,0.59,0.66
roller.csv,0.64,0.33,0.6,0.51,0.38,0.47,0.71,0.99,0.47,0.4
xfce.csv,0.72,0.54,0.63,0.51,0.33,0.52,0.71,0.53,0.56,0.97
