,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.07,0.73,0.8,0.93,0.85,0.58,0.88,0.77,0.77,0.91
h2database.csv,0.6,0.11,0.86,0.82,0.8,0.4,0.86,0.92,0.97,0.92
hannosset.csv,1.0,0.98,1.0,0.98,0.99,0.0,1.0,1.0,1.0,0.95
jaql.csv,0.4,0.47,0.73,0.01,0.54,0.9,0.67,0.63,0.96,1.01
megameknet.csv,0.43,0.59,0.76,0.53,0.13,1.06,0.65,0.68,0.91,0.76
ngl.csv,0.52,0.56,0.73,0.56,0.4,0.58,0.75,0.0,0.69,0.82
qedo.csv,1.0,1.0,1.0,0.98,1.0,1.0,0.98,1.0,0.89,0.0
qmmp.csv,0.58,0.66,0.73,0.6,0.46,0.67,0.66,0.62,0.05,0.79
raven-monitoring.csv,0.77,0.9,0.03,0.75,0.81,0.7,0.78,0.81,1.01,0.8
v8.csv,0.6,0.59,0.58,0.54,0.47,0.97,0.08,1.0,0.97,0.8
