,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,1.0,0.25,0.4,0.64,0.16,0.11,0.9,0.5,0.47,0.12
h2database.csv,0.17,0.98,0.5,0.47,0.48,0.21,0.94,0.4,1.0,0.05
hannosset.csv,0.0,0.2,0.0,1.0,0.33,1.0,1.0,0.0,0.0,1.0
jaql.csv,0.26,0.23,0.56,1.0,0.49,0.04,0.97,0.66,0.24,0.02
megameknet.csv,0.25,0.21,0.37,0.62,1.0,0.02,0.95,0.56,0.35,0.07
ngl.csv,0.19,0.18,0.43,0.54,0.44,0.13,0.94,1.0,0.53,0.06
qedo.csv,0.0,0.0,0.0,0.67,0.0,0.0,0.8,0.0,0.7,1.0
qmmp.csv,0.17,0.17,0.4,0.46,0.36,0.1,0.95,0.6,0.98,0.08
raven-monitoring.csv,0.1,0.07,1.0,0.36,0.21,0.08,0.94,0.49,0.38,0.1
v8.csv,0.15,0.17,0.55,0.51,0.48,0.08,1.0,0.53,0.5,0.07
