,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.96,0.27,0.53,0.13,0.22,0.19,0.46,0.42,0.52,0.11
h2database.csv,0.28,0.93,0.22,0.27,0.29,0.32,0.27,0.16,0.06,0.06
hannosset.csv,0.0,0.03,0.0,0.04,0.03,1.0,0.01,0.0,0.0,0.09
jaql.csv,0.38,0.34,0.38,0.99,0.48,0.07,0.51,0.52,0.15,0.03
megameknet.csv,0.36,0.29,0.38,0.56,0.93,0.04,0.69,0.54,0.32,0.13
ngl.csv,0.31,0.28,0.38,0.52,0.54,0.21,0.71,1.0,0.46,0.11
qedo.csv,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.19,1.0
qmmp.csv,0.28,0.28,0.48,0.55,0.49,0.18,0.75,0.63,0.97,0.14
raven-monitoring.csv,0.16,0.11,0.99,0.39,0.22,0.14,0.76,0.52,0.44,0.14
v8.csv,0.24,0.26,0.52,0.55,0.52,0.15,1.0,0.69,0.66,0.11
