,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.93,0.28,0.77,0.07,0.38,0.67,0.31,0.37,0.57,0.09
h2database.csv,0.89,0.89,0.14,0.19,0.2,0.67,0.16,0.1,0.03,0.09
hannosset.csv,0.0,0.02,0.0,0.02,0.01,1.0,0.0,0.0,0.0,0.05
jaql.csv,0.7,0.66,0.29,0.99,0.48,0.17,0.35,0.42,0.11,0.09
megameknet.csv,0.66,0.47,0.4,0.51,0.87,0.17,0.55,0.52,0.3,0.5
ngl.csv,0.89,0.64,0.34,0.51,0.7,0.5,0.57,1.0,0.41,0.41
qedo.csv,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.11,1.0
qmmp.csv,0.86,0.89,0.6,0.69,0.72,0.83,0.62,0.67,0.95,0.64
raven-monitoring.csv,0.36,0.25,0.97,0.44,0.23,0.5,0.63,0.55,0.52,0.23
v8.csv,0.57,0.6,0.49,0.61,0.57,1.0,1.0,0.98,0.97,0.27
