,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.98,0.98,0.46,0.91,0.78,0.49,0.77,0.83,0.5,0.94
h2database.csv,0.42,0.98,0.9,0.97,0.97,0.89,0.97,0.98,0.5,0.85
hannosset.csv,0.67,0.8,0.0,0.5,0.67,0.83,0.0,0.5,0.0,0.0
jaql.csv,0.56,0.49,0.72,0.57,0.54,0.71,0.59,0.69,0.97,0.39
megameknet.csv,0.63,0.63,0.53,0.56,0.73,0.54,0.54,0.65,0.76,0.59
ngl.csv,0.46,0.45,0.57,0.46,0.51,0.7,0.5,0.56,0.55,0.46
qedo.csv,0.0,0.8,0.0,0.67,0.0,0.5,0.8,0.89,0.9,0.95
qmmp.csv,0.42,0.38,0.42,0.4,0.44,0.34,0.36,0.45,0.52,0.4
raven-monitoring.csv,0.71,0.65,0.65,0.66,0.8,0.7,0.6,0.71,0.55,0.98
v8.csv,0.44,0.49,0.42,0.44,0.52,0.38,0.44,0.46,0.41,0.45
