,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.0,12.0,0.0,1.0,5.0,5.0,0.0,0.0,6.0,5.0
h2database.csv,22.0,0.0,0.0,8.0,7.0,8.0,0.0,0.0,0.0,2.0
hannosset.csv,375.0,2.0,86.0,0.0,0.0,0.0,0.0,367.0,124.0,0.0
jaql.csv,6.0,4.0,0.0,0.0,1.0,7.0,0.0,0.0,6.0,7.0
megameknet.csv,16.0,23.0,2.0,1.0,0.0,20.0,0.0,0.0,5.0,50.0
ngl.csv,10.0,9.0,1.0,1.0,13.0,6.0,0.0,0.0,4.0,30.0
qedo.csv,375.0,419.0,86.0,0.0,306.0,74.0,0.0,367.0,2.0,0.0
qmmp.csv,17.0,2.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,25.0
raven-monitoring.csv,29.0,19.0,0.0,13.0,11.0,17.0,0.0,0.0,2.0,20.0
v8.csv,13.0,47.0,1.0,1.0,8.0,19.0,0.0,0.0,2.0,2.0
