,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.73,0.76,0.84,0.26,0.25,0.05,0.63,0.49,0.1,0.33,0.4
avisynth2.csv,0.89,0.0,1.0,0.5,0.67,0.6,0.33,0.5,0.0,0.0,0.0
coot.csv,0.0,0.5,0.69,0.3,0.33,0.0,0.62,0.64,0.04,0.73,0.42
dsworkbench.csv,0.94,1.0,0.71,1.0,0.71,0.0,0.94,0.21,0.08,0.38,0.25
freelords.csv,0.82,0.55,0.79,0.46,0.45,0.06,0.65,0.54,0.08,0.58,0.42
gephex.csv,0.77,0.54,0.8,0.29,0.39,0.0,0.77,0.47,0.03,0.5,0.39
jas.csv,0.64,0.53,0.68,0.33,0.25,0.11,0.59,0.63,0.32,0.47,0.27
jpaul.csv,0.79,0.0,0.91,0.58,0.55,0.08,0.0,1.0,0.12,0.0,0.0
ngl.csv,0.77,0.52,0.75,0.33,0.42,0.09,0.61,0.69,0.09,0.6,0.35
scenemonitor.csv,0.8,0.68,0.92,0.73,0.67,0.0,0.73,0.45,0.03,0.35,0.18
synecdoche.csv,0.77,0.74,0.79,0.36,0.39,0.0,0.69,0.48,0.02,0.74,0.66
