,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.7,0.58,0.61,0.29,0.2,1.0,1.0,0.41,0.75,0.08,1.0
avisynth2.csv,0.16,0.0,0.03,0.12,0.1,1.0,0.01,0.01,0.0,0.0,0.0
coot.csv,0.0,0.28,0.54,0.88,0.7,0.0,0.59,0.53,0.38,0.68,0.52
dsworkbench.csv,0.68,0.15,0.06,0.06,0.25,0.0,0.23,0.04,0.12,0.08,0.1
freelords.csv,0.98,0.78,0.58,0.71,0.9,1.0,0.77,0.7,1.0,0.8,0.83
gephex.csv,0.98,0.82,0.77,0.76,0.6,0.0,0.68,0.51,0.25,0.9,0.93
jas.csv,0.18,0.48,0.33,0.35,0.15,0.67,0.34,0.65,1.0,0.4,0.28
jpaul.csv,0.54,0.0,0.13,0.88,0.3,0.33,0.0,0.12,0.62,0.0,0.0
ngl.csv,0.98,0.77,0.7,0.82,0.75,0.67,0.8,0.64,0.75,0.85,0.66
scenemonitor.csv,0.9,0.38,0.43,0.47,0.7,0.0,0.15,0.43,0.12,0.15,0.07
synecdoche.csv,0.68,0.33,0.84,0.47,0.65,0.0,0.48,0.28,0.12,0.42,0.66
