,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.87,0.48,0.51,0.78,0.88,0.98,1.0,0.77,0.52,0.94,1.0
avisynth2.csv,0.84,1.0,0.97,0.88,0.9,0.03,0.99,0.99,1.0,1.0,1.0
coot.csv,1.0,0.8,0.82,0.86,0.93,1.0,0.75,0.59,0.94,0.42,0.69
dsworkbench.csv,0.34,0.85,0.94,0.94,0.75,1.04,0.78,0.98,0.88,0.93,0.92
freelords.csv,0.69,0.82,0.6,0.45,0.69,0.82,0.74,0.75,0.8,0.65,0.79
gephex.csv,0.94,0.89,0.58,0.82,0.72,1.07,0.47,0.82,0.93,0.98,1.0
jas.csv,0.88,0.75,0.8,0.71,0.9,0.43,0.78,0.56,0.15,0.77,0.89
jpaul.csv,0.63,1.0,0.87,0.29,0.72,0.69,1.0,0.88,0.5,1.0,1.0
ngl.csv,0.94,0.91,0.71,0.73,0.7,0.46,0.9,0.49,0.6,0.64,0.91
scenemonitor.csv,0.69,0.66,0.58,0.53,0.37,1.0,0.85,0.84,0.93,0.9,0.95
synecdoche.csv,0.7,0.68,0.66,0.63,0.72,1.01,0.64,0.8,0.97,0.6,0.42
