,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.36,0.37,0.23,0.13,0.09,0.25,0.18,0.61,0.71,0.0,0.39,0.19,0.98,0.43,0.42,0.51,0.34
amygdala.csv,0.56,0.39,0.45,0.23,0.21,0.38,0.65,0.3,0.37,0.38,0.41,1.0,0.22,0.59,0.41,0.47,0.33
awemud.csv,1.0,0.64,0.35,0.44,0.64,0.46,0.64,0.48,0.89,0.0,0.6,0.54,0.5,0.53,0.55,0.63,0.57
bullet.csv,0.56,0.48,0.63,0.55,0.74,1.0,0.62,0.49,0.44,0.09,0.55,0.52,0.51,0.49,0.33,0.42,0.17
customwars.csv,0.01,0.22,0.15,0.13,0.36,0.11,0.0,0.41,0.0,0.0,0.95,0.0,0.57,0.19,0.05,0.51,0.48
dvd-create.csv,0.54,0.7,0.65,0.65,1.0,0.59,0.71,0.53,0.54,0.55,0.56,0.66,0.31,0.63,0.51,0.35,0.49
gbif-indexingtoolkit.csv,0.18,0.22,0.36,0.51,0.22,0.05,0.14,0.69,0.38,0.0,0.28,0.0,0.04,0.11,0.15,0.32,0.52
go.csv,0.63,0.99,0.34,0.39,0.65,0.56,0.71,0.56,0.34,0.29,0.64,0.58,0.6,0.57,0.5,0.35,0.69
growl-for-windows.csv,0.68,0.58,0.51,0.21,0.51,0.58,0.54,0.31,0.82,0.37,0.74,0.55,0.72,0.35,0.61,0.98,0.6
kwave.csv,0.41,0.52,0.95,0.63,0.66,0.22,0.57,0.4,0.36,0.1,0.44,0.33,0.21,0.49,0.46,0.23,0.26
libarchive.csv,0.6,0.74,0.59,0.68,0.44,0.61,0.62,0.48,0.79,0.29,0.54,0.54,0.74,0.64,0.63,0.72,0.97
linux-ntfs.csv,0.41,0.51,0.48,0.52,0.51,0.49,0.49,0.48,0.55,0.29,0.61,0.44,0.71,0.41,0.97,0.38,0.53
lsb.csv,0.64,0.62,0.5,1.0,0.51,0.64,0.72,0.45,0.68,0.0,0.43,0.51,0.68,0.67,0.53,0.37,0.68
mpgravity.csv,0.47,0.4,0.48,0.54,0.31,0.44,0.7,0.63,0.44,1.0,0.5,0.38,0.7,0.36,0.35,0.6,0.6
qcad2.csv,0.55,0.47,0.55,0.43,0.0,0.3,0.98,0.42,0.35,0.44,0.44,0.32,0.21,0.57,0.53,0.46,0.36
qtwin.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roller.csv,0.48,0.53,0.49,0.02,0.54,0.56,0.67,0.39,0.6,0.37,0.67,0.62,0.62,0.99,0.55,0.4,0.47
