,id,count_recall,count_precision,count_pf,cdom_score,bellwether
56,2,1,2,2,1,mclient-mume.csv
51,3,1,3,6,5,jam-daq.csv
49,4,1,7,15,15,icescrum.csv
57,5,0,0,3,4,swtfox.csv
24,6,5,10,15,19,forester-atv.csv
19,7,3,2,9,12,jgossipforum.csv
28,8,2,8,10,10,matrex.csv
17,9,1,1,4,5,mp-rechnungs-und-kundenverwaltung.csv
18,11,1,0,1,0,atunes.csv
52,12,1,1,1,1,gpsmid.csv
58,14,0,2,1,2,amanda.csv
50,15,5,7,11,18,bibedt.csv
21,16,1,6,11,12,openmeetings.csv
26,17,2,4,4,7,empserver.csv
15,18,5,6,9,15,phonon-vlc-mplayer.csv
27,19,1,1,3,2,qpe.csv
14,20,3,5,8,9,superwaba.csv
29,21,4,1,3,4,voms.csv
59,22,2,5,11,11,wow-qrsk.csv
16,27,2,3,7,8,jaql.csv
25,28,2,2,9,11,retromenu.csv
20,29,1,5,9,12,jmri.csv
39,30,6,9,15,17,myfaces.csv
34,31,4,3,0,4,freenet.csv
13,33,1,6,12,11,quark.csv
12,34,7,4,4,9,jguard.csv
5,35,1,2,3,3,zorannt.csv
33,36,2,6,13,15,customwars.csv
40,37,1,13,20,19,reaper-ecad.csv
32,38,4,5,6,9,pidgin.csv
41,39,1,8,16,15,customsagetv.csv
54,40,2,2,8,6,rtb-team.csv
47,41,4,3,7,9,applet2app.csv
22,42,2,2,5,4,adaptagrams.csv
31,43,3,11,13,18,zoolib.csv
30,44,2,10,18,19,kftpgrabber.csv
23,45,2,2,3,5,ossbuild.csv
46,46,1,3,5,4,tolven.csv
55,47,1,5,10,9,jstock.csv
48,48,1,5,11,11,jcae.csv
53,49,7,6,13,17,img-browse-sort.csv
8,51,2,4,5,8,openwbem.csv
42,52,4,3,11,15,mia.csv
38,53,2,1,2,2,graphmak.csv
37,54,3,3,16,18,continuum-ide.csv
43,55,2,2,4,8,optalgtoolkit.csv
7,56,2,5,16,16,wxcode.csv
4,57,0,5,10,12,opennms.csv
9,58,1,1,2,1,papertoolkit.csv
1,59,1,0,4,3,nassp.csv
11,60,4,3,6,11,xcf.csv
0,61,2,0,5,4,plplot.csv
36,62,1,3,9,8,alembik.csv
44,63,2,1,1,1,silvertree.csv
45,64,1,0,1,0,jrdf.csv
35,65,2,7,6,10,rodin-b-sharp.csv
2,66,8,4,4,15,codeblocks.csv
10,67,3,3,11,13,liferea.csv
3,68,1,8,13,15,bionote.csv
6,69,3,2,6,6,aubit4gl.csv
