,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.63,0.18,0.76,0.38,0.54,0.97,0.81,0.1,0.28,0.91,1.0,0.5,0.17,0.64,0.35,1.0,0.66
bionote.csv,0.54,0.2,0.73,0.47,0.38,0.93,0.67,0.25,0.33,1.0,1.0,0.14,1.0,0.75,0.6,1.0,0.0
bullet.csv,0.51,0.11,0.62,0.47,0.36,0.93,0.97,0.13,0.24,0.81,0.41,0.0,0.11,0.58,0.34,0.98,0.66
dxengine.csv,0.72,0.25,0.62,0.3,0.96,0.93,0.85,0.2,0.33,0.88,0.29,0.33,0.12,0.68,0.62,1.0,0.84
emono.csv,0.42,0.1,0.54,0.44,0.45,0.88,0.81,0.15,0.29,0.78,0.33,0.14,0.09,0.49,0.29,0.97,0.99
findbugs.csv,0.43,0.19,0.67,0.62,0.34,0.75,0.82,0.2,0.32,0.9,0.16,0.16,0.21,0.61,1.0,0.97,0.81
hazelcast.csv,0.54,0.11,0.64,0.42,0.37,1.0,0.81,0.14,0.27,0.8,0.37,0.24,0.13,0.61,0.34,1.0,0.66
jedit.csv,1.0,0.18,0.72,0.52,0.34,0.97,0.89,0.18,0.38,0.81,0.67,0.33,0.21,0.7,0.39,1.0,0.65
jmonkeyengine.csv,0.41,0.09,0.5,0.37,0.54,0.77,0.75,0.12,1.0,0.88,0.24,0.22,0.17,0.86,0.46,0.95,0.72
kolmafia.csv,0.76,0.19,0.67,0.58,0.45,1.0,0.88,0.16,0.28,0.84,0.5,0.35,0.13,1.0,0.41,1.0,0.6
lamp.csv,0.72,0.93,0.86,0.33,0.48,0.95,0.88,0.18,0.5,1.0,0.12,0.56,0.4,0.68,0.75,1.0,0.78
lcfizvtop.csv,0.73,1.0,0.57,0.41,0.5,1.0,0.9,0.12,0.43,0.81,0.44,0.82,0.4,0.67,0.31,1.0,0.7
onotoa.csv,0.54,0.33,0.64,0.41,0.38,0.8,0.84,0.18,0.21,0.99,0.45,0.16,0.11,0.75,0.38,1.0,0.64
openintents.csv,0.44,0.1,0.62,0.96,0.33,0.94,0.83,0.13,0.26,0.78,0.47,0.14,0.15,0.61,0.38,0.97,0.61
qlc.csv,0.69,0.1,1.0,0.12,0.36,1.0,0.84,1.0,0.0,1.0,0.2,0.25,0.27,0.5,0.57,1.0,0.83
triplea.csv,0.42,0.12,1.0,0.51,0.36,0.88,0.8,0.19,0.27,0.79,0.39,0.15,0.16,0.5,0.46,0.97,0.75
