,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.62,0.21,0.69,0.65,0.52,0.56,0.33,0.06,0.61,0.28,1.0,0.18,0.5,0.79,0.29,0.34,0.66
bionote.csv,0.11,0.07,0.25,0.35,0.11,0.25,0.09,0.28,0.17,0.14,0.04,0.18,1.0,0.13,0.32,0.21,0.0
bullet.csv,0.7,0.86,0.91,0.74,0.81,0.45,0.99,0.56,0.44,0.65,0.56,0.0,0.38,0.62,0.79,0.86,0.74
dxengine.csv,0.21,0.43,0.31,0.3,0.96,0.45,0.42,0.39,0.22,0.28,0.32,0.18,0.25,0.36,0.18,0.14,0.39
emono.csv,0.62,0.86,0.62,0.87,0.74,0.69,0.85,0.78,0.78,0.43,0.76,0.45,0.5,0.6,0.43,0.59,0.96
findbugs.csv,0.31,0.5,0.31,0.57,0.48,0.44,0.49,0.67,0.39,0.36,0.2,0.55,0.62,0.3,0.89,0.52,0.21
hazelcast.csv,0.9,0.86,0.94,0.96,0.96,1.0,0.9,0.67,0.72,0.85,0.84,0.73,0.88,0.94,0.68,0.97,0.91
jedit.csv,0.95,0.5,0.56,0.7,0.41,0.53,0.48,0.22,0.72,0.41,0.32,0.18,0.88,0.74,0.39,0.45,0.51
jmonkeyengine.csv,0.34,0.36,0.19,0.3,0.7,0.18,0.45,0.5,0.89,0.3,0.4,0.73,0.62,0.26,0.21,0.36,0.55
kolmafia.csv,0.56,0.71,0.56,0.65,0.7,0.67,0.55,0.5,0.61,0.51,0.44,0.55,0.5,0.98,0.68,0.52,0.41
lamp.csv,0.3,1.0,0.19,0.04,0.48,0.38,0.34,0.44,0.22,0.16,0.08,0.45,0.5,0.53,0.32,0.29,0.31
lcfizvtop.csv,0.26,0.14,0.25,0.3,0.44,0.25,0.13,0.22,0.17,0.28,0.28,0.82,0.5,0.43,0.18,0.07,0.18
onotoa.csv,0.7,0.07,0.56,0.83,0.85,0.67,0.76,0.72,0.56,0.99,0.4,0.73,0.75,0.32,0.64,0.4,0.84
openintents.csv,0.62,0.57,0.47,1.0,0.26,0.55,0.28,0.67,0.78,0.34,0.36,0.18,0.38,0.74,0.5,0.57,0.25
qlc.csv,0.15,0.21,0.16,0.04,0.15,0.15,0.24,0.83,0.0,0.11,0.08,0.09,0.38,0.02,0.14,0.09,0.06
triplea.csv,0.61,0.43,1.0,0.91,0.59,0.82,0.55,0.83,0.78,0.45,0.96,0.55,0.88,0.74,0.61,0.6,0.65
