,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.63,0.19,0.72,0.48,0.53,0.71,0.47,0.07,0.38,0.43,1.0,0.27,0.26,0.7,0.31,0.51,0.66
bionote.csv,0.19,0.11,0.37,0.4,0.17,0.4,0.16,0.26,0.22,0.24,0.08,0.16,1.0,0.22,0.42,0.34,0.0
bullet.csv,0.59,0.19,0.73,0.58,0.5,0.61,0.98,0.21,0.31,0.72,0.47,0.0,0.17,0.6,0.47,0.92,0.69
dxengine.csv,0.33,0.32,0.42,0.3,0.96,0.61,0.56,0.26,0.27,0.43,0.3,0.24,0.16,0.47,0.28,0.24,0.53
emono.csv,0.5,0.18,0.58,0.59,0.56,0.78,0.83,0.25,0.42,0.56,0.46,0.21,0.15,0.54,0.35,0.73,0.97
findbugs.csv,0.36,0.27,0.43,0.59,0.4,0.55,0.62,0.31,0.35,0.52,0.18,0.25,0.31,0.4,0.94,0.67,0.34
hazelcast.csv,0.67,0.2,0.76,0.58,0.53,1.0,0.85,0.24,0.39,0.82,0.51,0.36,0.23,0.74,0.45,0.98,0.76
jedit.csv,0.97,0.26,0.63,0.59,0.37,0.68,0.62,0.2,0.5,0.54,0.43,0.24,0.34,0.72,0.39,0.62,0.57
jmonkeyengine.csv,0.37,0.14,0.27,0.33,0.61,0.29,0.56,0.2,0.94,0.44,0.3,0.34,0.26,0.39,0.29,0.52,0.62
kolmafia.csv,0.64,0.29,0.61,0.61,0.55,0.8,0.68,0.24,0.39,0.64,0.47,0.43,0.21,0.99,0.51,0.68,0.49
lamp.csv,0.42,0.97,0.31,0.08,0.48,0.55,0.49,0.25,0.31,0.28,0.1,0.5,0.44,0.6,0.45,0.45,0.45
lcfizvtop.csv,0.39,0.25,0.35,0.35,0.47,0.41,0.23,0.15,0.24,0.42,0.34,0.82,0.44,0.52,0.23,0.13,0.28
onotoa.csv,0.61,0.12,0.6,0.55,0.53,0.73,0.8,0.29,0.3,0.99,0.43,0.26,0.19,0.45,0.47,0.57,0.72
openintents.csv,0.52,0.17,0.54,0.98,0.29,0.69,0.42,0.21,0.39,0.47,0.41,0.16,0.21,0.67,0.43,0.72,0.35
qlc.csv,0.24,0.14,0.27,0.06,0.21,0.25,0.37,0.91,0.0,0.2,0.11,0.13,0.32,0.04,0.23,0.16,0.12
triplea.csv,0.5,0.19,1.0,0.66,0.44,0.85,0.65,0.31,0.4,0.57,0.55,0.24,0.27,0.6,0.52,0.74,0.7
