,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.64,0.25,0.69,0.51,0.56,0.61,0.37,0.07,0.56,0.32,1.0,0.21,0.52,0.69,0.33,0.39,0.57
bionote.csv,0.13,0.09,0.29,0.39,0.13,0.29,0.11,0.32,0.2,0.17,0.05,0.21,1.0,0.16,0.37,0.25,0.0
bullet.csv,0.63,0.56,0.43,0.64,0.55,0.49,0.97,0.53,0.45,0.53,0.58,0.0,0.4,0.58,0.17,0.0,0.54
dxengine.csv,0.25,0.48,0.35,0.33,0.96,0.49,0.46,0.43,0.26,0.32,0.36,0.21,0.29,0.4,0.21,0.17,0.44
emono.csv,0.52,0.47,0.43,0.57,0.69,0.64,0.68,0.58,0.61,0.43,0.61,0.42,0.38,0.48,0.41,0.0,0.96
findbugs.csv,0.35,0.54,0.35,0.6,0.49,0.35,0.52,0.65,0.43,0.4,0.23,0.49,0.62,0.34,0.91,0.0,0.25
hazelcast.csv,0.7,0.59,0.53,0.24,0.4,1.0,0.67,0.58,0.55,0.0,0.68,0.65,0.41,0.64,0.44,0.98,0.35
jedit.csv,0.96,0.53,0.58,0.66,0.44,0.58,0.52,0.26,0.69,0.43,0.37,0.21,0.76,0.71,0.42,0.51,0.5
jmonkeyengine.csv,0.37,0.39,0.22,0.34,0.7,0.21,0.46,0.48,0.91,0.34,0.41,0.64,0.6,0.3,0.25,0.0,0.56
kolmafia.csv,0.6,0.7,0.56,0.65,0.66,0.72,0.58,0.51,0.57,0.52,0.48,0.58,0.5,0.98,0.6,0.58,0.42
lamp.csv,0.35,1.0,0.23,0.05,0.52,0.43,0.39,0.47,0.26,0.19,0.1,0.5,0.55,0.56,0.37,0.34,0.35
lcfizvtop.csv,0.3,0.17,0.29,0.34,0.48,0.29,0.16,0.26,0.2,0.32,0.32,0.84,0.55,0.47,0.21,0.09,0.21
onotoa.csv,0.65,0.09,0.55,0.48,0.59,0.31,0.7,0.65,0.44,0.98,0.44,0.32,0.28,0.37,0.54,0.45,0.34
openintents.csv,0.54,0.54,0.49,0.99,0.3,0.59,0.32,0.53,0.52,0.37,0.41,0.21,0.42,0.65,0.5,0.0,0.29
qlc.csv,0.18,0.25,0.19,0.05,0.18,0.18,0.28,0.86,0.0,0.13,0.1,0.11,0.43,0.02,0.17,0.11,0.07
triplea.csv,0.52,0.46,1.0,0.72,0.55,0.68,0.55,0.7,0.54,0.45,0.7,0.47,0.63,0.32,0.6,0.0,0.64
