,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,mumble.csv,t-2.csv,geochat.csv
adaptagrams.csv,0.98,0.36,0.45,0.35,0.27,0.49,0.18,0.24
aime.csv,0.5,0.86,0.4,0.24,0.92,0.49,0.18,0.04
badtrinitycore.csv,0.19,0.14,0.28,0.99,0.12,0.41,0.1,0.27
electric-core.csv,0.61,0.47,0.94,0.2,0.26,0.33,0.13,0.28
geochat.csv,0.53,0.37,0.28,0.22,0.36,0.51,0.22,0.95
mumble.csv,0.58,0.69,0.37,0.21,0.0,0.96,0.24,0.2
olsrd.csv,0.79,0.99,0.41,0.3,0.37,0.44,0.26,0.36
t-2.csv,0.3,0.37,0.24,0.15,0.08,0.12,0.96,0.34
