,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.0,0.0,0.93,0.97,0.54,0.61,0.0,0.83,0.55,0.47,0.95,0.73,0.41
badtrinity-zero.csv,0.34,0.77,0.43,0.46,0.79,0.5,0.47,0.33,0.46,0.86,0.44,0.57,0.38
betoffice.csv,0.42,0.38,0.47,0.57,0.57,0.7,0.54,0.6,0.59,0.58,0.51,0.53,0.34
exordium.csv,0.44,0.73,0.5,0.66,0.56,0.46,0.6,0.3,0.79,0.48,0.55,0.59,0.37
fltk.csv,0.4,0.75,0.56,0.53,0.85,0.48,0.52,0.39,0.45,0.61,0.6,0.97,0.48
gabel.csv,0.92,0.8,0.72,0.71,0.89,0.46,0.57,0.45,0.56,0.59,0.59,0.98,0.34
genoviz.csv,0.78,0.0,0.89,0.92,0.75,0.91,0.75,0.86,0.68,0.92,0.96,0.67,0.7
irrlicht.csv,0.38,0.36,0.0,0.42,0.39,0.39,0.41,0.32,0.41,0.46,0.48,0.49,0.32
nug.csv,0.7,0.5,0.64,0.84,0.41,0.52,0.76,0.93,0.45,0.56,0.59,0.51,0.34
rezilla.csv,0.37,0.5,0.46,0.7,0.69,0.89,0.55,0.37,0.75,0.8,0.59,0.59,0.52
toped.csv,0.44,0.38,0.6,0.55,0.63,0.42,0.47,0.4,0.47,0.54,0.6,0.85,0.33
xmemcached.csv,0.41,0.36,0.49,0.53,0.49,0.6,0.42,0.32,0.54,0.45,0.49,0.61,0.33
zoolib.csv,0.8,0.9,0.68,0.67,0.63,0.46,0.55,0.37,0.51,0.77,0.67,0.94,0.67
