,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.0,0.0,0.2,0.19,0.31,0.28,0.0,0.11,0.33,0.33,0.06,0.16,0.49
badtrinity-zero.csv,0.92,0.2,0.34,0.68,0.36,0.47,0.68,0.44,0.64,0.21,0.57,0.53,0.76
betoffice.csv,0.89,0.95,0.94,0.81,0.53,0.56,0.82,0.78,0.64,0.78,0.9,0.91,0.98
exordium.csv,0.64,0.25,0.3,0.13,0.27,0.55,0.25,0.56,0.21,0.43,0.51,0.62,0.56
fltk.csv,0.75,0.3,0.23,0.26,0.31,0.77,0.34,0.22,0.93,0.68,0.43,0.09,0.58
gabel.csv,0.17,0.08,0.16,0.13,0.11,0.28,0.34,0.33,0.47,0.22,0.43,0.09,0.67
genoviz.csv,0.11,0.0,0.05,0.0,0.07,0.06,0.0,0.0,0.24,0.11,0.08,0.01,0.11
irrlicht.csv,1.0,1.0,0.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.51,0.99,1.0
nug.csv,0.28,0.55,0.62,0.26,0.91,0.61,0.5,0.56,0.71,0.67,0.61,0.94,0.87
rezilla.csv,0.83,0.25,0.46,0.34,0.24,0.11,0.36,0.78,0.22,0.05,0.27,0.36,0.49
toped.csv,0.72,0.95,0.65,0.74,0.51,0.95,0.79,0.0,0.91,0.84,0.73,0.49,0.96
xmemcached.csv,0.92,1.0,0.88,0.63,0.64,0.2,0.98,0.89,0.64,0.99,0.88,0.77,0.89
zoolib.csv,0.22,0.15,0.17,0.17,0.53,0.56,0.34,0.44,0.66,0.18,0.27,0.22,0.33
