,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.07,0.0,0.19,0.14,0.35,0.59,0.06,0.12,0.74,0.53,0.12,0.22,0.84
badtrinity-zero.csv,0.29,0.3,0.67,0.62,0.31,0.59,0.56,0.75,0.36,0.29,0.55,0.6,0.46
betoffice.csv,0.37,0.2,0.24,0.45,0.6,0.36,0.4,0.37,0.62,0.51,0.34,0.32,0.09
exordium.csv,0.71,0.3,0.5,0.41,0.37,0.66,0.82,0.73,0.32,0.71,0.58,0.69,0.8
fltk.csv,0.61,0.46,0.52,0.69,0.33,0.53,0.72,0.6,0.27,0.7,0.57,0.3,0.78
gabel.csv,0.4,0.13,0.38,0.44,0.11,0.74,0.8,0.6,0.61,0.86,0.58,0.47,0.71
genoviz.csv,0.34,0.0,0.23,0.11,0.02,0.35,0.25,0.17,0.23,0.29,0.16,0.0,0.98
irrlicht.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.05,0.0
nug.csv,0.75,0.66,0.45,0.36,0.32,0.57,0.34,0.22,0.64,0.71,0.54,0.24,0.43
rezilla.csv,0.49,0.74,0.68,0.32,0.37,0.11,0.5,0.48,0.14,0.0,0.36,0.26,0.23
toped.csv,0.66,0.21,0.55,0.55,0.56,0.2,0.56,0.82,0.31,0.46,0.54,0.64,0.17
xmemcached.csv,0.3,0.0,0.38,0.66,0.59,0.75,0.09,0.37,0.62,0.05,0.39,0.59,0.38
zoolib.csv,0.45,0.25,0.38,0.5,0.43,0.63,0.64,0.6,0.52,0.65,0.46,0.7,0.61
