,net-snmp.csv,flylinkdc.csv,xbrlapi.csv,agilitybook.csv,vdsf.csv,n2cms.csv,jcae.csv,fw4spl.csv,ossbuild.csv,mimosa.csv,grisbi.csv,alpine.csv,tcvp.csv,yarp.csv,nabu-library.csv,virtuoso.csv,enzo.csv,jcl.csv,quickfast.csv,libarchive.csv
agilitybook.csv,0.0,0.74,0.55,0.63,0.96,0.77,0.57,0.67,0.59,0.51,0.8,0.68,0.38,0.47,0.74,0.96,0.95,0.55,0.45,0.94
alpine.csv,0.49,0.38,0.36,0.61,0.26,0.42,0.49,0.84,0.42,0.38,0.63,0.74,0.38,0.46,0.57,0.38,0.9,0.4,0.38,0.44
enzo.csv,0.4,0.4,0.37,0.38,0.26,0.39,0.3,0.4,0.36,0.49,0.31,0.39,0.36,0.37,0.46,0.33,0.35,0.37,0.34,0.47
flylinkdc.csv,0.37,0.48,0.51,0.42,0.27,0.44,0.5,0.47,0.71,0.45,0.38,0.48,0.63,0.38,0.74,0.39,0.51,0.4,0.38,0.53
fw4spl.csv,0.66,0.48,0.62,0.81,0.57,0.48,0.5,0.57,0.41,0.53,0.43,0.46,0.38,0.69,0.79,0.39,0.4,0.47,0.54,0.53
grisbi.csv,0.34,0.38,0.39,0.41,0.26,0.41,0.29,0.4,0.4,0.35,0.29,0.42,0.34,0.48,0.54,0.39,0.43,0.37,0.37,0.48
jcae.csv,0.0,0.79,0.5,0.78,0.98,0.72,0.62,0.48,0.0,0.75,0.48,0.86,0.69,0.8,0.83,0.96,0.5,0.94,0.59,0.0
jcl.csv,0.55,0.96,0.5,0.47,0.29,0.44,0.92,0.59,0.66,0.89,0.93,0.96,0.59,0.92,0.43,0.86,0.96,0.5,0.74,0.67
libarchive.csv,0.35,0.33,0.34,0.38,0.4,0.37,0.29,0.4,0.32,0.33,0.29,0.32,0.33,0.47,0.53,0.33,0.35,0.37,0.37,0.45
mimosa.csv,0.41,0.6,0.46,0.45,0.26,0.38,0.5,0.43,0.47,0.57,0.6,0.54,0.37,0.78,0.52,0.53,0.55,0.48,0.53,0.5
n2cms.csv,0.47,0.44,0.39,0.48,0.45,0.56,0.38,0.92,0.41,0.76,0.3,0.42,0.93,0.89,0.83,0.96,0.38,0.43,0.4,0.47
nabu-library.csv,0.41,0.44,0.79,0.66,0.99,0.69,0.95,0.92,0.75,0.67,0.0,0.39,0.0,0.86,0.51,0.74,0.49,0.61,0.64,0.95
net-snmp.csv,0.45,0.37,0.4,0.46,0.27,0.47,0.39,0.44,0.41,0.45,0.38,0.36,0.38,0.42,0.61,0.35,0.71,0.5,0.34,0.54
ossbuild.csv,0.63,0.74,0.43,0.55,0.9,0.5,0.91,0.65,0.99,0.77,0.92,0.98,0.43,0.58,0.75,0.87,0.9,0.82,0.79,0.73
quickfast.csv,0.4,0.39,0.34,0.41,0.26,0.36,0.29,0.4,0.36,0.4,0.28,0.37,0.62,0.43,0.45,0.45,0.43,0.37,0.34,0.44
tcvp.csv,0.5,0.8,0.67,0.0,0.0,0.9,0.5,0.95,0.75,0.0,0.0,0.5,0.94,0.67,0.49,0.67,0.67,0.5,0.83,0.0
vdsf.csv,0.43,0.44,0.45,0.44,0.99,0.51,0.36,0.84,0.43,0.41,0.35,0.43,0.74,0.6,0.85,0.44,0.44,0.58,0.43,0.46
virtuoso.csv,0.4,0.38,0.45,0.4,0.67,0.39,0.3,0.41,0.59,0.38,0.35,0.43,0.36,0.38,0.55,0.53,0.43,0.39,0.47,0.57
xbrlapi.csv,0.83,0.93,0.48,0.88,0.0,0.7,0.83,0.66,0.0,0.71,0.48,0.88,0.0,0.5,0.89,0.0,0.89,0.88,0.88,0.0
yarp.csv,0.56,0.84,0.46,0.69,1.0,0.57,0.56,0.66,0.0,0.51,0.89,0.79,0.57,0.61,0.75,0.0,0.38,0.57,0.68,0.0
