,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.89,0.65,0.68,0.85,0.43,0.33,0.0,0.87,0.2,0.23,0.69
linux-ntfs.csv,0.48,0.56,0.41,0.1,0.34,0.63,1.0,0.29,0.65,0.73,0.65
olap-navigator.csv,0.84,0.76,0.71,0.8,0.71,0.57,1.0,0.84,0.31,0.35,0.88
phonon-vlc-mplayer.csv,0.31,0.54,0.78,0.85,0.91,0.89,1.0,0.45,0.54,0.27,0.73
qgis.csv,0.1,0.61,0.88,0.0,0.11,0.92,1.0,0.39,0.43,0.58,0.69
qse.csv,0.52,0.48,0.67,0.15,0.8,0.75,1.0,0.65,0.28,0.38,0.0
rebecca-aiml.csv,0.59,0.86,0.49,0.6,0.69,0.69,1.0,0.45,0.81,0.62,0.69
roller.csv,0.84,0.75,1.0,1.0,0.74,0.72,1.0,1.0,0.96,0.58,1.0
xapian.csv,0.59,0.56,0.74,0.4,0.69,0.84,1.0,0.87,0.48,0.62,0.69
zoolib.csv,0.62,0.51,0.68,0.1,0.2,0.8,0.0,0.65,0.22,0.42,0.73
