,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.82,0.54,0.53,0.67,0.48,0.49,0.0,0.2,0.23,0.19,0.64
linux-ntfs.csv,0.54,0.53,0.26,0.11,0.41,0.62,0.02,0.08,0.64,0.34,0.62
olap-navigator.csv,0.9,0.63,0.69,0.65,0.7,0.66,0.04,0.23,0.2,0.37,0.62
phonon-vlc-mplayer.csv,0.48,0.61,0.71,0.43,0.73,0.8,0.03,0.33,0.28,0.39,0.58
qgis.csv,0.18,0.64,0.65,0.0,0.21,0.75,0.03,0.18,0.3,0.43,0.54
qse.csv,0.68,0.57,0.57,0.26,0.78,0.74,0.03,0.22,0.2,0.32,0.0
rebecca-aiml.csv,0.61,0.64,0.3,0.28,0.55,0.64,0.03,0.1,0.75,0.31,0.56
roller.csv,0.82,0.62,0.44,0.32,0.72,0.77,0.03,0.16,0.44,0.38,0.64
xapian.csv,0.69,0.59,0.5,0.31,0.63,0.72,0.02,0.16,0.25,0.53,0.64
zoolib.csv,0.76,0.59,0.68,0.18,0.33,0.77,0.0,0.31,0.21,0.49,0.58
