,forester-atv.csv,adonthell.csv,chaperon.csv,yarp0.csv,pokenetonline.csv,gephex.csv,primefaces.csv,rcp-company-uibindings.csv
adonthell.csv,0.51,0.61,0.0,0.5,0.47,0.0,0.47,0.49
chaperon.csv,0.48,0.31,0.98,0.57,0.26,0.42,0.18,0.24
forester-atv.csv,0.77,0.2,0.76,0.15,0.63,0.18,0.02,0.45
gephex.csv,0.33,0.51,0.24,0.63,0.37,0.66,0.61,0.52
pokenetonline.csv,0.39,0.09,0.23,0.48,0.77,0.0,0.52,0.0
primefaces.csv,0.48,0.0,0.64,0.0,0.0,0.0,0.8,0.52
rcp-company-uibindings.csv,0.62,0.36,0.54,0.42,0.29,0.52,0.56,0.9
yarp0.csv,0.5,0.41,0.78,0.59,0.31,0.45,0.25,0.36
