,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.81,0.99,0.81,0.32,0.73,1.0,0.63,0.8,0.87,0.8,0.94,0.74,0.63,1.0,0.65
aufs.csv,0.62,0.77,0.97,0.64,1.03,0.89,0.85,0.87,0.48,0.86,0.79,0.54,0.84,0.62,0.88
bulmages.csv,1.0,0.85,0.93,0.69,0.81,0.88,0.9,1.0,1.0,0.44,0.43,1.0,0.46,0.95,1.0
coot.csv,0.97,0.77,0.8,1.0,0.95,0.77,0.83,0.89,0.77,0.64,0.77,0.76,0.4,0.69,0.61
emono.csv,0.69,0.94,0.79,0.86,0.87,0.94,0.82,0.82,0.94,0.84,0.92,0.84,0.61,0.81,0.57
extprosys.csv,0.95,0.5,1.0,0.74,0.93,0.85,0.62,0.49,0.95,0.58,0.89,0.72,0.78,0.7,0.75
freelords.csv,0.68,0.79,1.0,0.94,0.87,0.91,0.51,0.7,0.63,0.61,0.61,0.79,0.51,0.8,0.74
jnode.csv,0.77,0.97,0.93,0.89,0.97,0.28,0.97,0.79,1.0,0.83,1.0,0.97,0.55,0.96,0.96
jruby.csv,0.64,0.98,0.68,1.0,0.6,0.9,0.71,0.56,1.0,0.84,0.37,0.93,0.97,0.5,0.82
jsecurity.csv,0.79,0.76,0.87,0.95,0.37,0.71,0.82,0.79,0.9,0.77,0.82,0.86,0.48,0.82,0.58
matrex.csv,0.7,0.94,0.89,0.68,0.95,0.81,0.96,0.56,0.84,1.0,0.23,0.82,0.95,0.86,0.87
officefloor.csv,0.53,0.76,0.86,0.93,0.85,0.56,0.92,0.46,0.54,0.81,0.64,0.69,0.7,0.77,0.6
projectfactory.csv,0.78,0.66,0.69,0.89,0.59,0.8,0.69,0.61,0.44,0.68,0.81,0.55,0.75,0.81,0.64
taverna.csv,0.69,0.87,0.33,0.91,0.87,0.69,0.82,1.0,0.89,0.72,0.92,0.72,0.45,0.86,0.78
vxl.csv,0.59,0.82,0.75,0.72,0.58,0.62,0.5,0.58,1.0,0.71,0.86,0.69,0.76,0.85,0.83
