,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.61,0.33,0.19,0.33,0.49,0.39,0.31,0.51,0.47,0.44,0.6,0.49,0.53,0.73,0.6,0.74,0.99,0.4
cornerstone.csv,0.54,0.29,0.24,0.2,0.43,0.53,0.31,0.4,0.44,0.16,0.96,0.32,0.55,0.27,0.58,0.53,0.62,0.26
emeraldemu.csv,0.65,0.31,0.3,0.35,0.41,0.45,0.31,0.98,0.33,0.26,0.54,0.41,0.6,0.49,0.65,0.41,0.66,0.2
grafx2.csv,0.62,0.31,0.18,0.31,0.61,0.53,0.48,0.62,0.53,0.59,0.6,0.39,0.63,0.99,0.65,0.85,0.68,0.53
jahshakafx.csv,0.99,0.31,0.34,0.21,0.21,0.34,0.39,0.49,0.43,0.36,0.41,0.17,0.28,0.28,0.52,0.53,0.56,0.32
kindb.csv,0.66,0.32,0.19,0.39,0.64,0.63,0.49,0.58,0.58,0.64,0.62,0.55,0.71,0.58,0.74,0.97,0.7,0.51
maya-work-in-progress.csv,0.52,0.25,0.15,0.34,0.69,0.67,0.47,0.54,0.53,0.97,0.67,0.55,0.72,0.67,0.75,0.48,0.7,0.49
netatalk.csv,0.58,0.32,0.26,0.43,0.43,0.39,0.41,0.55,0.48,0.68,0.57,0.5,0.5,0.54,0.59,0.71,0.64,1.0
novembre.csv,0.46,0.24,0.2,0.11,0.24,0.3,0.93,0.35,0.36,0.37,0.44,0.0,0.29,0.09,0.32,0.16,0.52,0.38
ns-3.csv,0.49,0.24,0.12,0.2,0.53,0.99,0.39,0.49,0.55,0.54,0.54,0.44,0.79,0.71,0.66,0.8,0.74,0.42
nullc.csv,0.36,0.15,0.08,0.23,0.99,0.76,0.44,0.44,0.49,0.45,0.52,0.34,0.82,0.44,0.73,0.74,0.57,0.34
open-beos.csv,0.5,0.27,0.24,0.26,0.53,0.63,0.35,0.49,0.99,0.55,0.55,0.44,0.71,0.72,0.69,0.79,0.64,0.53
planeshift.csv,0.53,0.22,0.14,0.24,0.68,0.71,0.42,0.51,0.55,0.61,0.64,0.43,0.99,0.73,0.77,0.81,0.71,0.46
plee-the-bear.csv,0.28,0.11,0.9,0.07,0.67,0.69,0.27,0.32,0.46,0.5,0.5,0.3,0.61,0.36,0.55,0.5,0.31,0.34
reaper-ecad.csv,0.46,0.17,0.12,0.94,0.83,0.76,0.44,0.46,0.53,0.55,0.58,0.21,0.8,0.61,0.8,0.77,0.66,0.47
sbml.csv,0.64,0.23,0.17,0.33,0.67,0.63,0.44,0.53,0.57,0.53,0.69,0.55,0.81,0.69,0.99,0.78,0.72,0.38
unimrcp.csv,0.55,0.31,0.26,0.33,0.48,0.2,0.3,0.45,0.22,0.22,0.37,0.96,0.35,0.45,0.31,0.34,0.45,0.45
unladen-swallow.csv,0.15,0.62,0.08,0.09,0.45,0.57,0.46,0.3,0.38,0.46,0.11,0.18,0.42,0.38,0.43,0.67,0.26,0.19
