,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,0.69,0.73,0.69,0.57,0.39,0.32,0.37,0.58,0.44,0.36,0.59,0.59,0.42,0.67,0.5,0.64,0.99,0.41
cornerstone.csv,0.58,0.48,0.81,0.25,0.32,0.46,0.42,0.44,0.39,0.11,0.93,0.37,0.44,0.22,0.49,0.45,0.59,0.4
emeraldemu.csv,0.79,0.59,0.57,0.38,0.3,0.37,0.37,0.97,0.27,0.19,0.54,0.38,0.5,0.38,0.56,0.3,0.64,0.17
grafx2.csv,0.76,0.73,0.68,0.7,0.5,0.44,0.65,0.68,0.53,0.52,0.58,0.51,0.53,0.98,0.57,0.81,0.66,0.69
jahshakafx.csv,0.98,0.52,0.65,0.29,0.14,0.25,0.44,0.49,0.39,0.26,0.37,0.18,0.2,0.19,0.41,0.43,0.47,0.33
kindb.csv,0.81,0.75,0.72,0.81,0.45,0.55,0.69,0.74,0.63,0.67,0.62,0.75,0.61,0.52,0.67,0.96,0.68,0.69
maya-work-in-progress.csv,0.66,0.64,0.7,0.74,0.57,0.61,0.57,0.69,0.6,0.95,0.59,0.77,0.59,0.66,0.63,0.39,0.63,0.69
netatalk.csv,0.63,0.66,0.67,0.69,0.32,0.3,0.54,0.57,0.41,0.66,0.54,0.64,0.39,0.48,0.48,0.63,0.6,1.0
novembre.csv,0.46,0.32,0.52,0.14,0.17,0.22,0.89,0.33,0.3,0.29,0.38,0.0,0.21,0.06,0.25,0.11,0.44,0.34
ns-3.csv,0.66,0.64,0.44,0.43,0.42,0.99,0.53,0.65,0.61,0.59,0.54,0.21,0.6,0.7,0.58,0.64,0.63,0.59
nullc.csv,0.49,0.44,0.42,0.46,0.98,0.46,0.46,0.59,0.46,0.46,0.5,0.48,0.44,0.41,0.56,0.23,0.51,0.34
open-beos.csv,0.57,0.59,0.73,0.46,0.42,0.56,0.48,0.58,0.98,0.46,0.47,0.63,0.61,0.73,0.59,0.73,0.61,0.6
planeshift.csv,0.69,0.42,0.65,0.56,0.55,0.64,0.56,0.66,0.62,0.69,0.61,0.56,0.99,0.6,0.63,0.53,0.5,0.66
plee-the-bear.csv,0.4,0.1,0.85,0.05,0.0,0.31,0.41,0.42,0.32,0.17,0.47,0.27,0.43,0.33,0.4,0.3,0.29,0.28
reaper-ecad.csv,0.41,0.45,0.47,0.93,0.0,0.46,0.63,0.53,0.34,0.24,0.56,0.33,0.59,0.2,0.32,0.0,0.55,0.49
sbml.csv,0.8,0.63,0.7,0.78,0.56,0.56,0.6,0.7,0.64,0.58,0.68,0.74,0.63,0.61,0.98,0.39,0.7,0.56
unimrcp.csv,0.55,0.46,0.35,0.43,0.37,0.13,0.31,0.39,0.15,0.15,0.31,0.97,0.26,0.35,0.22,0.25,0.37,0.41
unladen-swallow.csv,0.13,0.6,0.42,0.24,0.32,0.48,0.6,0.39,0.43,0.34,0.07,0.28,0.33,0.36,0.34,0.51,0.22,0.3
