,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv
ardour.csv,4.0,0.0,61.0,1.0,0.0,0.0,0.0,19.0,7.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0
cornerstone.csv,6.0,24.0,21.0,6.0,0.0,2.0,8.0,0.0,2.0,1.0,0.0,8.0,6.0,2.0,2.0,2.0,5.0,1.0
emeraldemu.csv,7.0,23.0,8.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,1.0,0.0,4.0
grafx2.csv,0.0,1.0,70.0,33.0,0.0,1.0,1.0,1.0,6.0,0.0,3.0,5.0,1.0,0.0,3.0,2.0,0.0,0.0
jahshakafx.csv,0.0,9.0,5.0,10.0,2.0,2.0,4.0,5.0,4.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0
kindb.csv,1.0,22.0,57.0,3.0,0.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0
maya-work-in-progress.csv,50.0,1.0,101.0,4.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
netatalk.csv,0.0,61.0,29.0,5.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0
novembre.csv,0.0,4.0,29.0,20.0,1.0,0.0,0.0,5.0,1.0,2.0,1.0,100.0,1.0,0.0,2.0,0.0,0.0,1.0
ns-3.csv,50.0,0.0,39.0,77.0,0.0,0.0,4.0,1.0,2.0,10.0,3.0,14.0,2.0,3.0,2.0,5.0,2.0,8.0
nullc.csv,67.0,3.0,57.0,80.0,0.0,0.0,6.0,5.0,8.0,0.0,2.0,11.0,3.0,2.0,1.0,2.0,3.0,8.0
open-beos.csv,1.0,1.0,32.0,3.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,5.0,1.0,2.0,6.0,4.0,0.0,0.0
planeshift.csv,57.0,1.0,36.0,57.0,0.0,0.0,3.0,6.0,5.0,0.0,0.0,10.0,0.0,1.0,2.0,2.0,0.0,0.0
plee-the-bear.csv,97.0,15.0,0.0,3.0,0.0,0.0,6.0,7.0,6.0,0.0,0.0,14.0,2.0,2.0,1.0,2.0,1.0,1.0
reaper-ecad.csv,106.0,3.0,58.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,11.0,3.0,2.0,1.0,2.0,1.0,1.0
sbml.csv,9.0,328.0,95.0,23.0,0.0,0.0,1.0,0.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0
unimrcp.csv,3.0,5.0,5.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
unladen-swallow.csv,11.0,0.0,46.0,51.0,1.0,1.0,3.0,6.0,5.0,0.0,3.0,13.0,2.0,2.0,7.0,2.0,1.0,1.0
