,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.25,0.4,0.41,0.0,0.04,0.16,0.66,0.57,0.57,0.41
ibatisdb.csv,0.33,0.0,0.18,0.31,0.07,0.71,0.46,0.47,0.25,0.7
jmol.csv,0.33,0.19,0.24,0.34,0.04,0.81,0.63,0.81,0.34,0.42
liferea.csv,0.32,0.07,0.3,0.57,0.04,0.8,0.14,0.64,0.14,0.21
log4net.csv,0.29,0.29,0.23,0.36,0.29,0.35,0.5,0.57,0.21,0.16
pclasses.csv,0.58,0.0,0.22,0.13,0.09,0.28,0.24,0.01,0.25,0.18
psrchive.csv,0.27,0.42,0.55,0.34,0.13,0.21,0.46,0.71,0.27,0.16
re2c.csv,0.19,0.92,0.24,0.25,0.06,0.25,0.74,0.46,0.15,0.4
tycho.csv,0.2,0.53,0.3,0.3,0.05,0.4,0.79,0.36,0.28,0.19
xfce.csv,0.36,0.11,0.31,0.43,0.04,0.77,0.67,0.76,0.32,0.27
