,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.19,0.55,0.28,0.18,0.39,0.17,0.81,0.35,0.04,0.06,0.16,0.64,0.39,0.77,0.52,0.51,0.38
beast-mcmc.csv,0.52,0.54,0.74,0.69,0.44,0.66,0.71,0.56,0.53,0.64,0.25,0.55,0.46,0.7,0.05,0.47,0.44
bscwweasel.csv,0.0,0.5,0.28,0.72,0.29,0.02,0.51,0.36,0.16,0.17,0.54,0.19,0.63,0.0,0.0,0.24,0.5
codeblocks.csv,0.64,0.57,0.44,0.73,0.59,0.67,0.82,0.46,0.25,0.29,0.18,0.56,0.65,0.51,0.2,0.71,0.56
gamestone.csv,0.06,0.87,0.29,0.48,0.3,0.09,0.43,0.22,0.06,0.28,0.29,0.1,0.14,0.64,0.11,0.41,0.34
iaml.csv,0.12,0.43,0.66,0.06,0.39,0.19,0.51,0.4,0.24,0.59,0.67,0.37,0.54,0.63,0.15,0.35,0.43
jbasic.csv,0.58,0.29,0.67,0.42,0.73,0.11,0.66,0.0,0.28,0.75,0.39,0.59,0.13,0.38,0.72,0.49,0.3
modplug.csv,0.54,0.43,0.53,0.6,0.4,0.61,0.24,0.53,0.0,0.4,0.09,0.35,0.64,0.09,0.17,0.78,0.56
pdfedit.csv,0.64,0.43,0.49,0.18,0.76,0.4,0.37,0.43,0.3,0.48,0.33,0.54,0.18,0.83,0.64,0.58,0.5
redshell.csv,0.4,0.54,0.53,0.53,0.49,0.27,0.32,0.73,0.0,0.48,0.58,0.43,0.45,0.42,0.28,0.27,0.56
sabbu.csv,0.73,0.14,0.78,0.43,0.7,0.47,0.43,0.56,0.58,0.58,0.42,0.73,0.27,0.92,0.52,0.33,0.57
silvertree.csv,0.67,0.59,0.55,0.3,0.48,0.6,0.44,0.56,0.77,0.0,0.59,0.77,0.17,0.66,0.56,0.46,0.3
t-2.csv,0.32,0.34,0.55,0.45,0.46,0.49,0.53,0.47,0.28,0.28,0.59,0.55,0.64,0.22,0.3,0.27,0.3
xinity.csv,0.27,0.14,0.62,0.34,0.51,0.43,0.36,0.5,0.36,0.59,0.62,0.42,0.21,0.42,0.53,0.34,0.81
xreal.csv,0.12,0.29,0.3,0.18,0.32,0.19,0.18,0.27,0.24,0.48,0.3,0.19,0.05,1.0,0.17,0.22,0.32
zabbix.csv,0.51,0.0,0.58,0.28,0.77,0.49,0.39,0.58,0.51,0.62,0.27,0.69,0.24,0.87,0.55,0.51,0.56
zengine.csv,0.68,0.3,0.13,0.05,0.0,0.21,0.0,0.0,0.85,0.09,0.47,0.0,0.05,0.13,0.36,0.0,0.17
