,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.41,0.54,0.5,0.5,0.78,0.84,0.85,1.0,0.53,0.17,0.88,0.06,0.85,0.11,0.0,0.7
galaxium.csv,0.52,0.42,0.45,0.3,0.7,0.07,0.91,0.73,0.67,0.77,0.62,0.67,0.61,0.63,0.6,0.52
hydrate.csv,0.39,0.25,0.67,0.1,0.7,0.06,0.18,0.77,0.37,0.54,0.88,0.38,0.82,0.34,0.4,0.76
ivef-sdk.csv,0.72,0.45,0.59,1.0,0.41,1.0,0.24,0.0,0.87,0.31,0.0,0.56,0.48,0.34,0.4,0.0
jmri.csv,0.39,0.27,0.61,0.17,0.15,0.57,0.52,0.59,0.53,0.23,0.5,0.31,0.36,0.14,0.2,0.27
jython.csv,0.65,0.4,0.23,0.7,0.19,0.93,0.94,0.91,0.43,0.49,1.0,0.29,0.45,0.2,1.0,0.67
kdenlive.csv,0.73,0.57,0.53,0.6,0.22,0.25,0.36,0.95,0.73,0.83,0.88,0.72,0.85,0.4,0.4,0.82
ninject.csv,0.18,0.25,0.46,0.23,0.26,0.54,0.39,0.18,0.1,0.71,0.62,0.43,0.15,0.4,1.0,0.67
ondex.csv,0.45,0.3,0.57,0.53,0.15,0.03,0.18,0.77,0.4,0.17,0.62,0.28,0.58,0.11,0.4,0.27
opentibia.csv,0.35,0.81,0.42,0.47,0.59,0.06,0.88,0.86,0.13,0.37,0.62,0.33,0.27,0.89,0.4,0.91
runuomondains.csv,0.46,0.31,0.57,0.13,0.22,0.63,0.42,0.86,0.6,0.4,0.75,0.38,0.3,0.14,0.4,0.45
somap.csv,0.89,0.86,0.75,0.97,1.0,0.49,0.85,0.95,0.9,1.0,0.88,0.82,0.85,1.0,1.0,1.0
taverna.csv,0.35,0.25,0.27,0.17,0.74,0.1,0.85,0.36,0.27,0.71,0.5,0.31,0.36,0.74,0.0,0.21
tigermud.csv,0.46,0.58,0.77,0.7,0.41,0.01,0.12,0.32,0.03,0.66,0.38,0.74,0.45,0.71,1.0,0.91
unbvision.csv,0.59,0.29,0.84,0.23,0.33,0.99,0.42,0.68,0.73,0.46,0.88,0.43,0.88,0.2,0.6,0.36
x-ray-mule.csv,0.31,0.43,0.41,0.83,0.85,0.06,0.61,0.09,0.77,0.4,0.0,0.54,0.52,0.71,0.6,0.06
