,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.86,0.72,0.0,0.0,0.45,0.55,0.89,0.97,0.68,1.0,0.94,0.0
fityk.csv,0.69,0.48,0.96,0.72,0.64,0.7,0.89,0.74,0.66,1.0,0.89,0.64
hatari.csv,0.59,0.5,0.84,0.67,0.82,0.58,0.44,0.14,0.43,1.0,0.8,0.47
lmms.csv,0.38,0.34,0.46,0.72,0.59,0.31,0.56,0.14,0.18,1.0,0.63,0.49
mecat.csv,0.21,0.08,0.32,0.1,0.23,0.01,0.11,0.0,0.16,1.0,0.0,0.09
nullc.csv,0.62,0.66,0.92,0.71,0.91,0.94,0.56,1.0,0.45,1.0,0.06,0.66
oscarmcmaster.csv,0.41,0.44,0.24,0.72,0.36,0.52,0.44,1.0,0.61,0.67,0.34,0.6
superwaba.csv,0.55,0.76,0.68,0.57,0.36,0.6,0.44,0.74,0.84,0.67,1.0,0.55
tycho.csv,0.55,0.42,0.76,0.54,0.64,0.42,0.44,0.74,0.36,0.67,0.57,0.47
vienna-add-in.csv,0.62,0.52,0.5,0.44,0.64,0.73,0.89,0.69,0.84,0.33,0.0,0.45
voms.csv,0.59,0.32,0.88,0.51,0.32,0.48,0.89,0.83,0.55,0.67,0.14,0.72
wsmt.csv,0.0,0.12,0.22,0.07,0.18,0.37,0.0,0.11,0.0,0.0,0.74,0.47
